name,Great Circle Distance from London,Total exports from UK 2015
Afghanistan,5703.078853,181
Albania,1884.698571,24
Algeria,1655.393182,421
Andorra,1007.310259,47
Angola,6828.544276,993
Antigua and Barbuda,6590.049511,39
Argentina,11133.08523,583
Armenia,3604.664531,24
Aruba,7542.021306,26
Australia,16975.3257,8555
Austria,1226.671104,2615
Azerbaijan,3963.41196,951
Bahamas,6998.067555,124
Bahrain,5064.644778,505
Bangladesh,7993.652453,770
Barbados,6787.369162,113
Belarus,1864.031148,69
Belgium,311.6937236,15176
Belize,8430.980708,20
Benin,5011.860995,77
Bermuda,5564.52281,666
Bolivia,10006.50722,35
Bosnia and Herzegovina,1611.553144,57
Botswana,8838.505234,226
Brazil,8796.456156,3826
British Virgin Islands,6668.455449,719
Brunei,11257.69024,334
Bulgaria,2005.663117,761
Burkina Faso,4355.440182,25
Burma,8709.08205,101
Cambodia,10007.72535,28
Cameroon,5402.925825,116
Canada,5369.656793,7250
Cayman Islands,7751.045455,1137
Chad,4586.906172,18
Chile,11679.64895,719
China,8135.793693,16728
Colombia,8510.616901,629
Congo,6368.099917,472
Costa Rica,8737.08017,97
C̫te d'Ivoire,4991.998046,194
Croatia,1328.871164,362
Cuba,7499.117256,40
Cyprus,3210.235405,987
Czech Republic,1025.507332,2786
Dem. Rep. of the Congo,6374.200815,53
Denmark,948.5165875,5579
Dominica,6714.837018,7
Dominican Republic,7029.788205,146
East Timor,13158.11297,0
Ecuador,9234.676007,146
Egypt,3503.053099,1687
El Salvador,8768.097943,20
Equatorial Guinea,5371.369244,132
Eritrea,5296.030848,0
Estonia,1776.960507,253
Ethiopia,5890.935268,231
Falkland Islands,12689.23753,150
Fiji,16302.00554,25
Finland,1814.923661,2701
France,338.8313661,32928
Gabon,5753.41339,119
Gambia,4484.779459,33
Georgia,3530.487379,92
Germany,922.7627513,48501
Ghana,5109.437077,807
Gibraltar,1760.946398,2891
Greece,2384.8057,2210
Grenada,7022.808405,8
Guatemala,8777.256404,41
Guernsey,290.2547552,3591
Guinea,4829.199433,46
Guyana,7254.760569,63
Honduras,8592.705403,14
Hong Kong,9617.903575,8242
Hungary,1441.690742,1808
Iceland,1889.494574,402
India,6703.840888,6610
Indonesia,11709.08473,892
Iran,4388.412298,189
Iraq,4079.741008,609
Ireland,470.5924577,25679
Isle of Man,420.0566426,870
Israel,3573.058663,2015
Italy,1427.213315,17682
Jamaica,7546.251268,120
Japan,9557.12288,10508
Jersey,298.2524761,4483
Jordan,3634.989885,764
Kazakhstan,4759.377678,762
Kenya,6812.567564,585
Kiribati,14092.26517,0
Kosovo,1869.423971,3
Kuwait,4633.606687,1429
Kyrgyzstan,5467.384432,7
Lao People`s Democratic Republic,9292.657884,5
Latvia,1669.06239,348
Lebanon,3448.901543,520
Lesotho,9378.991333,4
Liberia,5122.961375,28
Libya,2327.987249,371
Liechtenstein,842.9351224,59
Lithuania,1714.857888,464
Luxembourg,481.6817532,2391
Macao,9594.14228,76
Macedonia,1933.470945,770
Madagascar,9087.852519,20
Malawi,7978.74089,19
Malaysia,10538.2996,2341
Maldives,8508.413334,26
Mali,4379.613767,58
Malta,2083.904874,926
Marshall islands,13448.11883,24
Mauritania,3970.136827,30
Mauritius,9724.496721,218
Mexico,8937.372975,1953
Moldova,2138.579976,109
Mongolia,6965.737012,34
Montenegro,1767.097188,22
Morocco,2019.263852,884
Mozambique,9185.149388,165
Namibia,8403.379799,101
Nauru,14216.1134,0
Nepal,7324.75083,102
Netherlands,349.5057092,31798
New Zealand,18811.00024,1032
Nicaragua,8696.320759,25
Niger,4227.510937,15
Nigeria,4766.149599,2328
Norway,1152.810943,6035
Oman,5810.56595,728
Pakistan,6025.960053,917
Panama,8494.481124,236
Papua New Guinea,14474.93186,199
Paraguay,10213.21555,31
Peru,10176.83072,237
Philippines,10729.6899,546
Poland,1439.856959,5378
Portugal,1590.986859,2466
Qatar,5205.313459,2618
Romania,2082.799842,1578
Russia,2493.151063,5617
Rwanda,6584.152418,21
Samoa,15761.58539,0
Saudi Arabia,4952.210922,6256
Senegal,4377.800014,120
Serbia,1681.239927,169
Seychelles,8140.611847,30
Sierra Leone,4934.30864,58
Singapore,10847.75515,7053
Slovakia,1280.114311,714
Slovenia,1220.745585,334
Solomon Islands,14993.99481,0
Somalia,6925.109325,19
South Africa,9020.32948,4127
South Korea,8853.96566,6309
Spain,1268.724269,14766
Sri Lanka,8709.097073,361
St Kitts and Nevis,6633.794069,15
St Lucia,6799.716096,26
St Vincent and the Grenadines,6891.040231,14
Sudan,4921.991649,140
Suriname,7151.288568,16
Swaziland,9173.221309,0
Sweden,1426.603617,8836
Switzerland,740.0441405,20964
Syria,3529.618913,6
Taiwan,9779.335682,1817
Tajikistan,5383.850251,7
Tanzania,7258.85962,223
Thailand,9524.019207,1912
Togo,5047.302222,101
Tonga,16612.52238,0
Trinidad and Tobago,7127.578971,216
Tunisia,1821.189998,233
Turkey,2828.965299,4768
Turkmenistan,4710.801029,52
Turks and Caicos Islands,6834.533164,16
Tuvalu,15235.36807,0
Uganda,6458.862913,84
Ukraine,2124.513811,416
United Arab Emirates,5486.238832,8626
United States,5908.443456,96425
Uruguay,11051.67971,246
Uzbekistan,5225.627607,39
Vanuatu,16123.95367,0
Venezuela,7505.096029,337
Vietnam,9226.139275,524
Virgin Islands (U.S.),6695.623905,4
Yemen,5604.5424,49
Zambia,7931.040136,132
Zimbabwe,8279.890278,89
