"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","FDISTOCK","OUTWARD","PC_GDP","A","2015",51.852145240984,
"FRA","FDISTOCK","OUTWARD","PC_GDP","A","2016",51.162603148961,
"DEU","FDISTOCK","INWARD","PC_GDP","A","2012",24.362703516725,
"DEU","FDISTOCK","INWARD","PC_GDP","A","2013",25.454073998528,
"DEU","FDISTOCK","INWARD","PC_GDP","A","2014",21.863325897322,
"DEU","FDISTOCK","INWARD","PC_GDP","A","2015",23.635698852009,
"DEU","FDISTOCK","INWARD","PC_GDP","A","2016",22.959271804202,
"DEU","FDISTOCK","OUTWARD","PC_GDP","A","2012",37.929676708856,
"DEU","FDISTOCK","OUTWARD","PC_GDP","A","2013",38.598943382933,
"DEU","FDISTOCK","OUTWARD","PC_GDP","A","2014",35.539030089662,
"DEU","FDISTOCK","OUTWARD","PC_GDP","A","2015",40.932601038527,
"DEU","FDISTOCK","OUTWARD","PC_GDP","A","2016",39.993756677245,
"GRC","FDISTOCK","INWARD","PC_GDP","A","2012",10.079563001013,
"GRC","FDISTOCK","INWARD","PC_GDP","A","2013",10.777124994714,
"GRC","FDISTOCK","INWARD","PC_GDP","A","2014",10.40628483017,
"GRC","FDISTOCK","INWARD","PC_GDP","A","2015",13.693587164237,
"GRC","FDISTOCK","OUTWARD","PC_GDP","A","2012",18.30109254526,
"GRC","FDISTOCK","OUTWARD","PC_GDP","A","2013",15.133627133262,
"GRC","FDISTOCK","OUTWARD","PC_GDP","A","2014",13.737491986178,
"GRC","FDISTOCK","OUTWARD","PC_GDP","A","2015",15.972331483937,
"HUN","FDISTOCK","INWARD","PC_GDP","A","2012",81.690671194987,
"HUN","FDISTOCK","INWARD","PC_GDP","A","2013",80.619508462851,
"HUN","FDISTOCK","INWARD","PC_GDP","A","2014",71.330300944826,
"HUN","FDISTOCK","INWARD","PC_GDP","A","2015",69.391881964477,
"HUN","FDISTOCK","INWARD","PC_GDP","A","2016",63.729616031533,
"HUN","FDISTOCK","OUTWARD","PC_GDP","A","2012",29.623660040185,
"HUN","FDISTOCK","OUTWARD","PC_GDP","A","2013",28.450787846392,
"HUN","FDISTOCK","OUTWARD","PC_GDP","A","2014",28.033871660125,
"HUN","FDISTOCK","OUTWARD","PC_GDP","A","2015",28.640626896912,
"HUN","FDISTOCK","OUTWARD","PC_GDP","A","2016",20.031374095652,
"ISL","FDISTOCK","INWARD","PC_GDP","A","2012",72.914009204493,
"ISL","FDISTOCK","INWARD","PC_GDP","A","2013",47.592945458155,
"ISL","FDISTOCK","INWARD","PC_GDP","A","2014",45.919912966578,
"ISL","FDISTOCK","INWARD","PC_GDP","A","2015",46.789081963488,
"ISL","FDISTOCK","INWARD","PC_GDP","A","2016",50.095591315544,
"ISL","FDISTOCK","OUTWARD","PC_GDP","A","2012",86.544022703881,
"ISL","FDISTOCK","OUTWARD","PC_GDP","A","2013",61.393241373614,
"ISL","FDISTOCK","OUTWARD","PC_GDP","A","2014",48.981711425986,
"ISL","FDISTOCK","OUTWARD","PC_GDP","A","2015",45.511297384015,
"ISL","FDISTOCK","OUTWARD","PC_GDP","A","2016",30.285064301862,
"IRL","FDISTOCK","INWARD","PC_GDP","A","2012",169.6946376234,
"IRL","FDISTOCK","INWARD","PC_GDP","A","2013",170.8464597048,
"IRL","FDISTOCK","INWARD","PC_GDP","A","2014",162.34723523453,
"IRL","FDISTOCK","INWARD","PC_GDP","A","2015",305.32038628522,
"IRL","FDISTOCK","INWARD","PC_GDP","A","2016",285.5066327655,
"IRL","FDISTOCK","OUTWARD","PC_GDP","A","2012",182.45331227398,
"IRL","FDISTOCK","OUTWARD","PC_GDP","A","2013",223.62994695861,
"IRL","FDISTOCK","OUTWARD","PC_GDP","A","2014",241.68657069589,
"IRL","FDISTOCK","OUTWARD","PC_GDP","A","2015",312.82557216605,
"IRL","FDISTOCK","OUTWARD","PC_GDP","A","2016",283.18701728449,
"ITA","FDISTOCK","INWARD","PC_GDP","A","2013",17.132363377397,
"ITA","FDISTOCK","INWARD","PC_GDP","A","2014",16.381323081049,
"ITA","FDISTOCK","INWARD","PC_GDP","A","2015",18.471837204618,
"ITA","FDISTOCK","INWARD","PC_GDP","A","2016",18.706850992163,
"ITA","FDISTOCK","OUTWARD","PC_GDP","A","2013",25.160367991655,
"ITA","FDISTOCK","OUTWARD","PC_GDP","A","2014",22.802566315503,
"ITA","FDISTOCK","OUTWARD","PC_GDP","A","2015",25.607592254845,
"ITA","FDISTOCK","OUTWARD","PC_GDP","A","2016",24.786450015356,
"JPN","FDISTOCK","INWARD","PC_GDP","A","2012",3.4538362213797,
"JPN","FDISTOCK","INWARD","PC_GDP","A","2013",3.4776432756141,
"JPN","FDISTOCK","INWARD","PC_GDP","A","2014",3.7349417035788,
"JPN","FDISTOCK","INWARD","PC_GDP","A","2015",4.2213565648208,
"JPN","FDISTOCK","INWARD","PC_GDP","A","2016",4.0281517955216,
"JPN","FDISTOCK","OUTWARD","PC_GDP","A","2012",17.419103355278,
"JPN","FDISTOCK","OUTWARD","PC_GDP","A","2013",22.77531332137,
"JPN","FDISTOCK","OUTWARD","PC_GDP","A","2014",25.064570756416,
"JPN","FDISTOCK","OUTWARD","PC_GDP","A","2015",29.785703309541,
"JPN","FDISTOCK","OUTWARD","PC_GDP","A","2016",27.80260034479,
"KOR","FDISTOCK","INWARD","PC_GDP","A","2012",12.910954980396,
"KOR","FDISTOCK","INWARD","PC_GDP","A","2013",13.852558775434,
"KOR","FDISTOCK","INWARD","PC_GDP","A","2014",12.7142839834,
"KOR","FDISTOCK","INWARD","PC_GDP","A","2015",13.030545916707,
"KOR","FDISTOCK","INWARD","PC_GDP","A","2016",13.170887144034,
"KOR","FDISTOCK","OUTWARD","PC_GDP","A","2012",16.590946095922,
"KOR","FDISTOCK","OUTWARD","PC_GDP","A","2013",18.291297904037,
"KOR","FDISTOCK","OUTWARD","PC_GDP","A","2014",18.457885834103,
"KOR","FDISTOCK","OUTWARD","PC_GDP","A","2015",20.751677295124,
"KOR","FDISTOCK","OUTWARD","PC_GDP","A","2016",21.799252767942,
"LUX","FDISTOCK","INWARD","PC_GDP","A","2013",181.07586891212,
"LUX","FDISTOCK","INWARD","PC_GDP","A","2014",351.32191169433,
"LUX","FDISTOCK","INWARD","PC_GDP","A","2015",391.19218472688,
"LUX","FDISTOCK","OUTWARD","PC_GDP","A","2013",193.01326985453,
"LUX","FDISTOCK","OUTWARD","PC_GDP","A","2014",250.28683081213,
"LUX","FDISTOCK","OUTWARD","PC_GDP","A","2015",355.65398219729,
"MEX","FDISTOCK","INWARD","PC_GDP","A","2012",38.44624232123,
"MEX","FDISTOCK","INWARD","PC_GDP","A","2013",38.1972013113,
"MEX","FDISTOCK","INWARD","PC_GDP","A","2014",37.593668090002,
"MEX","FDISTOCK","INWARD","PC_GDP","A","2015",44.361107422684,
"MEX","FDISTOCK","OUTWARD","PC_GDP","A","2012",12.60860927318,
"MEX","FDISTOCK","OUTWARD","PC_GDP","A","2013",11.159645317402,
"MEX","FDISTOCK","OUTWARD","PC_GDP","A","2014",11.329183709026,
"MEX","FDISTOCK","OUTWARD","PC_GDP","A","2015",12.750134794075,
"NLD","FDISTOCK","INWARD","PC_GDP","A","2012",75.773280588883,
"NLD","FDISTOCK","INWARD","PC_GDP","A","2013",89.891061604049,
"NLD","FDISTOCK","INWARD","PC_GDP","A","2014",81.552449130768,
"NLD","FDISTOCK","INWARD","PC_GDP","A","2015",95.621341823692,
