(1900=100),Beef,Hides,Lamb,Pork,Coal,Natural gas,Petroleum,Barley,Corn,Rice,Rye,Wheat,Aluminum,Chromium,Copper,Lead,Manganese,Nickel,Steel,Tin,Zinc,Bauxite,Iron ore,Phosphate,Potash,Sulfur,Gold,Platinum,Silver,Cocoa,Coffee,Cotton,Cottonseed,Palm oil,Peanuts,Rubber,Sugar,Tea,Tobacco,Wool
1963,236.98,39.05,156.84,40.90,112.01,59.00,142.42,65.28,87.26,51.44,57.31,76.05,18.37,55.07,50.24,67.77,86.11,42.05,94.78,103.72,58.56,86.49,104.30,43.95,16.95,53.55,45.35,114.07,53.04,42.14,103.64,82.75,92.95,65.63,96.05,11.70,81.63,79.32,178.65,62.96
1964,295.10,35.39,171.50,39.99,112.04,54.58,139.35,67.55,85.89,48.85,54.46,63.92,19.01,58.09,51.78,81.64,89.32,41.50,96.62,138.28,88.76,87.44,105.60,47.15,16.49,53.38,44.85,123.06,52.34,38.08,128.16,82.26,85.21,69.73,94.78,10.86,55.53,76.14,195.27,65.45
1965,304.20,48.27,129.22,53.31,109.91,57.24,135.85,64.30,87.57,47.47,50.30,58.13,19.32,59.87,55.79,94.44,85.64,40.80,95.00,153.73,83.77,77.72,101.52,51.92,16.76,58.58,44.16,134.07,51.46,27.04,124.83,79.33,83.07,78.03,94.85,10.99,19.11,80.78,163.24,57.53
1966,342.97,58.06,128.03,53.80,109.50,55.65,133.03,66.54,89.85,56.12,53.06,61.74,18.79,54.18,56.02,86.77,87.28,39.67,91.74,137.62,73.35,76.23,101.38,46.87,15.76,65.21,42.91,132.42,50.04,37.26,112.68,75.30,113.97,65.60,91.41,9.98,16.73,68.65,198.32,60.41
1967,339.45,38.19,133.00,45.95,108.29,54.09,133.42,65.52,82.05,72.76,52.05,52.22,18.63,57.45,57.55,78.08,83.31,42.98,89.61,125.07,68.96,83.84,99.97,42.05,12.65,80.40,44.85,142.46,77.48,41.84,101.90,79.50,92.78,60.45,89.62,8.03,17.18,63.81,158.39,52.88
1968,339.58,34.41,145.32,45.82,105.28,51.91,129.53,60.28,69.56,64.67,46.69,44.18,18.31,57.64,60.46,70.71,71.88,44.44,89.20,115.91,63.95,78.59,97.35,38.67,9.97,93.76,49.33,145.10,70.71,48.39,98.12,77.20,81.46,43.84,89.79,7.55,16.44,54.84,140.91,50.42
1969,363.14,42.39,144.85,57.34,106.71,52.34,127.43,58.12,71.40,55.50,44.75,43.55,18.46,54.70,65.17,75.69,61.89,46.82,90.45,122.14,66.12,77.19,96.35,35.90,8.01,60.69,42.87,146.14,61.90,57.19,94.16,67.11,62.92,44.63,88.08,9.41,26.26,50.48,123.50,48.40
1970,365.68,35.38,144.70,55.51,126.44,49.42,121.98,56.57,75.97,40.49,41.41,46.72,18.39,47.90,74.69,74.91,61.14,54.11,90.86,122.12,64.47,68.13,92.75,33.15,11.23,49.11,40.74,147.23,52.88,40.60,116.27,68.34,81.66,60.50,86.54,7.20,28.88,54.79,112.79,38.32
1971,361.78,38.04,133.38,44.29,137.20,50.17,123.60,58.40,71.67,35.38,36.06,45.53,17.82,67.46,63.83,63.46,63.24,53.52,98.47,112.47,64.77,65.69,93.20,32.50,12.11,35.52,50.01,131.09,43.23,31.03,96.43,75.88,78.71,58.21,88.15,5.64,33.37,53.52,104.79,23.83
1972,385.17,75.34,173.08,62.51,144.91,51.26,121.10,59.89,66.88,39.39,37.31,51.04,15.70,68.42,60.81,66.90,72.97,54.64,86.14,115.46,76.44,67.43,100.15,32.16,11.66,33.58,79.94,131.10,59.31,35.95,104.42,77.56,66.40,46.91,90.35,5.45,52.24,47.64,104.45,40.19
1973,492.63,82.20,212.22,89.64,152.74,55.88,148.98,95.70,106.17,73.37,69.81,105.77,14.00,69.00,66.59,68.26,77.02,56.10,95.32,139.36,160.21,61.04,99.75,36.20,11.12,33.12,120.76,147.76,88.65,59.44,121.69,122.78,118.97,76.75,95.70,10.48,64.01,45.20,103.32,81.76
1974,349.28,50.96,195.70,69.87,252.99,68.66,365.39,109.73,142.43,120.71,82.67,109.44,17.21,94.59,78.12,85.07,113.86,57.60,110.49,218.71,212.36,110.45,108.84,129.35,14.34,48.16,135.43,161.83,111.82,73.93,115.89,116.06,143.85,122.56,95.28,10.47,181.07,56.51,122.32,51.86
1975,268.42,46.05,186.11,88.81,286.52,92.27,345.62,91.32,112.70,74.17,71.22,74.80,18.40,158.48,59.34,74.49,137.87,62.67,107.33,171.85,117.25,81.84,124.81,146.00,17.98,69.77,95.84,136.17,95.31,54.07,105.49,89.15,90.67,72.87,95.59,7.16,114.29,54.07,139.29,40.55
1976,302.36,62.80,186.52,73.19,275.30,115.01,343.44,81.68,100.04,49.07,70.48,62.90,19.41,128.41,60.77,75.57,151.98,64.46,100.51,181.62,105.92,90.73,137.48,73.65,18.05,67.14,94.56,127.64,95.90,83.94,217.65,120.45,85.73,64.52,92.23,9.34,61.05,53.14,156.35,46.49
1977,270.66,64.94,190.28,65.80,264.81,147.16,347.86,65.86,77.88,49.42,55.22,49.44,21.07,119.43,54.59,94.35,155.66,61.05,105.77,240.15,82.34,90.61,142.87,59.22,16.74,61.28,113.80,119.42,97.53,146.09,335.87,105.46,56.67,79.02,90.98,9.24,40.27,82.19,151.40,43.96
1978,357.02,77.65,228.14,71.84,270.59,157.54,322.80,70.25,76.34,62.13,49.57,57.22,20.27,102.52,50.50,96.11,155.12,51.06,108.61,262.83,77.03,87.53,147.11,52.04,16.43,57.98,147.90,156.88,114.22,121.90,216.79,96.69,84.55,83.18,84.95,10.39,36.04,55.08,141.58,42.35
1979,432.76,107.35,221.56,55.50,293.35,183.59,433.67,74.95,77.95,50.66,46.12,64.59,20.38,117.38,63.92,135.14,154.16,59.75,97.61,267.21,86.42,76.27,147.01,53.22,17.76,64.33,290.25,209.24,377.23,106.00,207.65,92.34,77.85,81.41,74.54,11.95,40.03,52.87,131.53,43.67
1980,364.83,59.37,237.03,47.69,276.01,217.92,602.33,79.16,79.68,57.89,52.07,60.26,20.97,112.57,62.48,95.94,150.90,55.96,99.42,279.60,78.20,66.66,145.06,66.36,19.40,90.48,248.41,229.87,249.97,73.83,165.71,98.23,70.36,64.02,80.00,11.88,104.59,51.34,112.47,40.06
1981,296.32,48.87,204.25,51.71,270.12,245.86,587.85,73.09,72.11,58.39,53.60,47.57,20.81,113.18,46.31,74.85,139.43,48.58,94.25,216.33,78.74,67.56,142.85,63.71,21.26,102.12,162.37,225.45,116.49,53.43,124.24,80.76,45.53,56.71,73.70,8.49,56.12,41.21,103.95,33.05
1982,269.66,42.57,167.04,71.46,259.70,287.83,505.21,55.04,52.57,33.43,40.41,38.78,19.60,102.13,37.97,46.09,161.76,36.88,90.27,184.46,65.34,73.33,138.91,51.39,18.74,93.63,175.68,212.44,137.80,42.02,126.01,64.96,40.88,41.68,45.70,6.11,26.24,40.76,108.17,27.27
1983,266.76,48.27,131.48,55.92,243.48,293.60,446.28,59.33,67.20,30.56,35.40,40.48,19.42,94.72,39.29,37.97,128.15,34.70,102.79,176.23,64.97,62.55,161.02,43.38,16.79,73.24,151.89,205.83,115.04,49.72,115.12,73.05,79.22,45.49,51.66,7.34,25.57,53.66,108.59,24.69
1984,238.24,60.35,125.39,52.13,229.80,289.06,413.76,63.16,62.82,26.70,27.99,39.12,19.42,101.29,32.31,42.90,136.42,33.97,107.44,163.46,75.11,62.26,133.02,43.08,16.10,75.93,121.66,197.31,80.93,53.87,120.87,67.42,47.35,63.39,42.91,6.33,15.05,67.25,109.18,23.32
1985,218.01,50.66,116.26,50.02,222.98,263.38,379.91,45.57,49.40,22.22,30.65,34.29,18.75,103.07,30.64,30.92,128.54,34.25,113.24,149.81,61.63,58.50,124.26,36.89,14.62,82.41,125.48,119.63,68.74,48.95,118.25,48.09,28.29,42.04,33.47,4.85,11.34,41.44,98.82,21.51
1986,207.87,62.16,133.23,53.97,205.12,199.85,193.75,36.17,37.02,19.63,22.09,30.69,20.92,90.19,29.63,32.25,120.09,26.20,111.17,90.99,58.24,54.46,108.09,36.55,12.43,80.15,153.22,183.96,61.48,44.12,154.25,37.83,34.66,21.19,48.32,5.06,16.60,38.59,98.78,22.84
1987,228.71,74.87,129.09,49.87,193.43,165.98,246.15,40.36,30.15,20.76,23.31,30.07,16.35,84.19,37.02,45.84,121.76,31.53,76.19,80.56,59.47,44.52,90.25,31.94,13.52,66.13,157.79,211.37,75.08,41.01,86.85,56.95,35.37,27.25,35.59,5.96,17.89,37.05,98.40,27.57
1988,231.70,78.93,138.20,31.38,182.26,161.30,199.03,49.56,42.57,25.77,34.61,34.88,25.59,129.02,51.88,48.37,144.51,86.32,73.72,81.85,88.75,43.85,82.86,35.61,17.18,60.82,129.23,193.54,64.86,31.29,101.00,46.43,46.11,33.39,42.16,6.88,25.91,34.00,84.93,30.35
1989,225.61,77.33,126.93,24.69,172.24,153.88,231.93,50.51,41.69,26.58,26.99,36.42,18.67,145.36,54.19,47.34,171.97,79.37,79.92,94.50,127.53,46.91,87.43,38.54,17.19,58.43,121.72,176.96,56.15,23.38,75.82,52.99,46.74,25.54,35.14,5.38,31.03,37.51,104.00,26.11
1990,213.56,75.17,137.84,36.83,163.59,147.72,278.83,50.98,39.84,22.77,25.98,27.61,14.88,99.20,48.04,54.13,184.92,50.16,79.03,63.93,106.65,45.17,81.89,36.27,12.51,51.27,111.94,155.04,39.10,22.64,59.43,54.63,43.23,20.03,54.05,4.55,28.88,40.12,105.67,20.17
1991,212.94,62.14,116.07,31.29,157.33,135.95,227.77,47.91,37.49,23.71,26.24,26.97,11.34,96.05,40.51,35.74,208.18,44.33,76.47,56.41,76.05,48.45,76.55,36.52,14.83,43.92,101.13,117.96,36.05,20.50,54.17,48.34,25.21,22.49,48.44,4.17,19.79,31.33,104.62,14.81
1992,190.52,57.60,128.16,19.28,148.79,140.03,215.30,46.74,34.85,20.98,27.56,29.00,10.61,90.96,38.36,33.64,163.84,36.92,62.99,59.71,83.51,44.25,70.61,34.83,15.10,28.68,99.06,111.80,33.22,18.31,39.63,35.76,37.49,25.34,30.36,4.22,19.41,29.14,99.81,14.90
1993,197.26,59.00,136.44,21.38,141.06,159.40,188.16,41.18,33.72,18.05,28.67,26.09,9.35,69.31,31.23,24.53,147.11,27.09,64.52,49.04,62.08,41.76,61.85,26.73,13.63,18.47,103.50,112.87,43.19,18.06,42.52,34.77,40.11,23.62,40.28,3.95,20.86,28.48,75.94,13.56
1994,171.42,62.40,136.14,18.22,135.07,140.94,172.79,40.86,34.08,19.99,29.60,26.99,11.82,68.07,36.73,32.24,142.73,31.66,64.65,50.62,63.02,37.50,58.90,26.06,13.29,16.99,102.18,118.88,40.42,22.01,87.90,46.68,33.52,32.22,34.34,5.22,24.57,25.66,72.57,16.52
1995,136.26,61.61,116.63,19.73,130.73,114.83,177.53,56.89,38.46,23.15,30.92,33.83,14.06,115.41,45.44,36.12,138.10,39.96,62.87,55.99,63.13,33.47,62.96,26.88,12.36,24.43,100.77,119.76,42.43,21.96,86.12,54.80,35.15,37.25,31.82,7.13,26.21,24.90,70.62,19.99
1996,123.90,59.28,142.40,28.22,125.05,156.16,202.94,63.58,50.70,23.69,38.31,33.22,11.39,86.53,34.50,43.05,145.56,35.37,61.06,53.95,61.35,37.22,63.80,29.09,11.53,18.18,88.38,108.68,37.87,21.67,67.63,44.36,40.04,30.58,32.68,6.10,22.92,26.97,79.28,16.75
1997,125.89,58.57,143.38,21.73,119.67,163.21,186.50,50.50,35.23,20.72,37.96,24.23,11.82,92.38,33.46,33.92,139.01,31.95,62.21,48.31,76.19,33.27,64.53,29.90,11.19,18.82,73.55,106.46,46.53,23.56,102.27,42.73,34.59,30.73,32.82,4.36,21.30,32.71,89.58,16.91
1998,115.29,50.12,114.42,13.40,118.93,135.77,131.52,43.50,28.53,20.60,24.82,18.59,9.88,81.06,23.94,28.29,127.40,21.02,58.16,46.67,58.32,30.23,66.30,30.87,13.23,14.94,70.36,98.71,42.76,24.03,72.03,34.79,39.14,37.20,32.33,3.04,16.46,31.99,83.33,12.65
1999,120.49,46.13,106.24,12.76,111.92,148.42,173.61,38.00,24.37,16.43,22.14,15.12,9.69,61.86,22.27,26.32,112.83,26.70,49.60,44.54,60.56,28.14,55.72,30.91,12.05,18.98,66.15,98.07,39.34,15.92,54.15,27.59,23.68,23.65,26.70,2.59,11.31,28.14,74.32,10.17
2000,122.18,49.63,103.12,16.48,109.32,241.29,256.03,37.39,22.71,13.01,24.53,14.58,10.67,64.24,24.84,23.00,118.75,37.13,58.34,43.34,61.31,29.12,51.90,29.73,11.15,12.00,64.03,136.58,36.11,12.29,43.90,29.68,28.85,16.28,26.12,2.67,14.29,27.77,70.37,10.00
2001,130.93,50.89,111.50,16.61,111.62,255.01,212.43,44.22,22.54,10.72,26.24,15.61,9.67,70.09,21.02,23.45,104.95,24.86,41.52,34.77,46.88,28.56,47.92,27.60,10.56,4.72,60.46,129.15,31.00,14.10,30.54,23.45,25.44,14.58,25.07,2.13,14.66,23.00,69.07,11.50
2002,127.41,48.63,124.52,12.58,115.13,185.15,211.12,50.49,25.02,11.73,29.98,18.51,8.90,63.87,20.45,21.95,91.99,27.85,46.56,30.99,40.53,24.61,49.87,26.27,11.29,5.49,68.01,129.56,32.12,23.09,29.70,22.24,27.89,19.60,22.24,3.05,11.51,21.34,62.11,19.27
2003,117.17,39.55,143.14,13.90,113.24,299.45,245.77,47.45,25.64,11.92,25.87,18.31,9.23,72.85,22.81,24.42,114.38,38.73,59.10,36.53,42.13,23.00,58.36,24.17,11.18,13.05,78.02,162.43,33.29,22.23,30.30,29.84,33.09,21.77,28.26,3.99,11.59,21.01,58.55,21.95
2004,144.84,37.88,165.10,18.00,126.11,326.35,319.08,43.68,27.29,14.31,27.70,18.46,10.78,106.19,35.79,40.94,202.74,54.06,90.33,61.88,51.94,25.85,67.48,25.39,11.94,14.44,85.68,193.46,44.36,19.17,36.99,28.38,26.81,22.55,27.47,4.67,11.41,22.74,59.06,17.95
2005,145.92,35.86,154.12,16.59,146.88,423.76,420.32,40.58,21.50,16.21,27.45,16.80,11.53,112.39,44.44,43.61,128.09,55.70,110.12,51.89,66.18,27.45,77.68,25.17,16.94,13.19,89.96,198.53,47.06,18.40,51.06,24.46,25.19,19.53,24.23,5.19,15.22,21.50,58.15,16.65
2006,137.59,36.50,135.76,15.17,152.03,357.88,476.49,48.22,24.05,16.56,26.76,19.52,15.13,101.66,78.66,55.81,139.43,88.83,101.06,59.81,151.68,30.26,92.44,25.66,18.31,13.65,118.25,244.96,71.94,18.45,49.27,24.66,28.51,21.44,23.95,7.05,22.05,23.67,59.96,16.43
2007,136.71,37.08,134.74,14.70,153.39,340.34,507.02,69.30,33.80,17.63,39.26,27.13,15.10,140.91,80.99,108.54,201.66,132.77,90.08,96.27,146.73,32.66,99.23,40.04,17.93,13.27,132.49,271.70,81.08,22.00,51.74,26.41,36.41,34.00,32.44,7.60,14.62,25.03,65.09,22.61
2008,158.72,31.66,144.42,14.38,186.06,417.96,672.70,77.64,45.66,35.76,47.69,36.38,14.18,235.62,76.21,84.71,388.41,72.52,139.32,118.05,81.96,26.62,120.18,187.86,30.61,10.26,159.99,315.97,87.45,27.96,56.37,28.69,51.35,39.81,40.42,8.59,17.88,28.65,67.86,20.19
2009,133.82,22.26,135.18,12.45,201.43,193.14,418.18,49.86,35.53,30.21,37.34,24.13,9.21,137.54,56.62,69.91,224.37,50.36,108.16,86.88,72.37,30.15,150.47,66.36,42.56,6.63,179.04,242.52,85.91,31.46,58.21,25.28,35.42,28.76,28.83,6.13,25.43,32.36,80.37,17.46
2010,167.37,35.15,165.27,16.35,230.37,231.97,529.55,60.55,36.34,26.25,37.48,22.93,11.82,176.65,81.51,85.95,241.70,73.98,111.44,128.49,92.75,29.27,160.28,66.03,31.48,26.93,221.83,318.99,116.32,33.57,78.03,41.10,34.40,37.33,31.38,11.33,29.36,33.72,80.90,23.05
2011,195.68,38.83,199.90,18.96,259.30,198.27,614.51,76.78,56.19,26.97,56.05,32.30,12.65,167.95,92.23,93.15,263.19,75.33,119.51,159.42,91.38,31.63,177.69,96.20,40.02,53.67,275.99,330.93,196.12,30.95,104.63,58.08,62.58,45.21,49.43,14.68,34.76,33.09,81.18,32.95
2012,196.47,38.58,179.92,17.27,208.32,130.57,596.34,87.24,61.00,27.79,54.28,32.33,10.44,171.00,81.65,78.35,214.56,56.51,111.61,126.27,79.52,27.39,133.36,94.75,41.35,51.16,286.27,292.15,170.43,24.34,70.52,33.63,56.22,39.33,50.48,10.04,28.22,32.17,76.29,32.37
2013,190.35,43.29,164.49,17.78,206.36,167.08,611.15,72.32,55.41,24.48,55.78,30.64,9.40,146.22,74.44,80.18,175.36,47.71,102.96,131.51,76.74,26.28,138.36,74.38,33.65,33.60,238.48,275.85,128.25,24.45,51.98,33.56,61.27,33.23,31.51,8.75,22.83,31.30,80.17,29.67
2014,229.49,50.07,184.54,20.96,185.45,236.18,576.83,50.22,36.75,19.97,53.56,26.37,9.40,156.48,68.35,77.87,168.32,53.22,100.76,128.18,86.16,26.96,98.25,54.94,26.17,41.69,212.40,255.14,102.07,30.47,74.14,30.18,44.18,31.61,29.42,6.10,21.79,29.53,86.60,26.90
2015,203.67,39.45,149.68,13.75,157.77,122.72,299.76,68.49,32.90,17.67,51.52,22.01,8.34,131.54,54.62,65.90,134.05,37.10,94.55,93.37,76.46,23.84,55.61,58.12,26.49,27.41,193.16,192.58,83.28,30.97,58.72,25.84,46.15,23.79,28.12,4.82,17.09,29.17,84.78,23.91
