"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2015-08","Aug-2015","IDX","Index","0","Units","2010_100","2010=100",110.3315,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2015-09","Sep-2015","IDX","Index","0","Units","2010_100","2010=100",110.2722,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2015-10","Oct-2015","IDX","Index","0","Units","2010_100","2010=100",110.5415,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2015-11","Nov-2015","IDX","Index","0","Units","2010_100","2010=100",110.532,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2015-12","Dec-2015","IDX","Index","0","Units","2010_100","2010=100",110.5025,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2016-01","Jan-2016","IDX","Index","0","Units","2010_100","2010=100",109.8982,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2016-02","Feb-2016","IDX","Index","0","Units","2010_100","2010=100",110.039,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2016-03","Mar-2016","IDX","Index","0","Units","2010_100","2010=100",110.5943,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2016-04","Apr-2016","IDX","Index","0","Units","2010_100","2010=100",110.7386,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2016-05","May-2016","IDX","Index","0","Units","2010_100","2010=100",111.0669,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2016-06","Jun-2016","IDX","Index","0","Units","2010_100","2010=100",111.2805,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2016-07","Jul-2016","IDX","Index","0","Units","2010_100","2010=100",111.3005,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2016-08","Aug-2016","IDX","Index","0","Units","2010_100","2010=100",111.3557,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2016-09","Sep-2016","IDX","Index","0","Units","2010_100","2010=100",111.414,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2016-10","Oct-2016","IDX","Index","0","Units","2010_100","2010=100",111.7914,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2016-11","Nov-2016","IDX","Index","0","Units","2010_100","2010=100",111.881,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2016-12","Dec-2016","IDX","Index","0","Units","2010_100","2010=100",112.5117,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2017-01","Jan-2017","IDX","Index","0","Units","2010_100","2010=100",112.4805,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2017-02","Feb-2017","IDX","Index","0","Units","2010_100","2010=100",112.9625,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2017-03","Mar-2017","IDX","Index","0","Units","2010_100","2010=100",113.3564,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2017-04","Apr-2017","IDX","Index","0","Units","2010_100","2010=100",113.8063,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2017-05","May-2017","IDX","Index","0","Units","2010_100","2010=100",113.8347,,
"CPALTT01","Consumer prices - all items","OECDE","OECD - Europe","IXOB","Index","M","Monthly","2017-06","Jun-2017","IDX","Index","0","Units","2010_100","2010=100",113.8247,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2013-01","Jan-2013","IDX","Index","0","Units","2010_100","2010=100",118.4142,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2013-02","Feb-2013","IDX","Index","0","Units","2010_100","2010=100",119.0773,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2013-03","Mar-2013","IDX","Index","0","Units","2010_100","2010=100",119.4821,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2013-04","Apr-2013","IDX","Index","0","Units","2010_100","2010=100",120.0915,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2013-05","May-2013","IDX","Index","0","Units","2010_100","2010=100",120.8841,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2013-06","Jun-2013","IDX","Index","0","Units","2010_100","2010=100",121.3918,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2013-07","Jul-2013","IDX","Index","0","Units","2010_100","2010=100",122.3872,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2013-08","Aug-2013","IDX","Index","0","Units","2010_100","2010=100",122.5586,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2013-09","Sep-2013","IDX","Index","0","Units","2010_100","2010=100",122.8159,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2013-10","Oct-2013","IDX","Index","0","Units","2010_100","2010=100",123.516,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2013-11","Nov-2013","IDX","Index","0","Units","2010_100","2010=100",124.2234,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2013-12","Dec-2013","IDX","Index","0","Units","2010_100","2010=100",124.8385,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2014-01","Jan-2014","IDX","Index","0","Units","2010_100","2010=100",125.575,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2014-02","Feb-2014","IDX","Index","0","Units","2010_100","2010=100",126.4541,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2014-03","Mar-2014","IDX","Index","0","Units","2010_100","2010=100",127.7439,,
