TIME,GEO,GEO_LABEL,AGE,UNIT,SEX,Value
2013,BE25,Prov. West-Vlaanderen,From 45 to 49 years,Number,Females,75
2013,BE25,Prov. West-Vlaanderen,From 50 to 54 years,Number,Total,285
2013,BE25,Prov. West-Vlaanderen,From 50 to 54 years,Number,Males,181
2013,BE25,Prov. West-Vlaanderen,From 50 to 54 years,Number,Females,104
2013,BE31,Prov. Brabant Wallon,Total,Number,Total,3375
2013,BE31,Prov. Brabant Wallon,Total,Number,Males,1602
2013,BE31,Prov. Brabant Wallon,Total,Number,Females,1773
2013,BE31,Prov. Brabant Wallon,Less than 5 years,Number,Total,9
2013,BE31,Prov. Brabant Wallon,Less than 5 years,Number,Males,5
2013,BE31,Prov. Brabant Wallon,Less than 5 years,Number,Females,4
2013,BE31,Prov. Brabant Wallon,From 45 to 49 years,Number,Total,40
2013,BE31,Prov. Brabant Wallon,From 45 to 49 years,Number,Males,28
2013,BE31,Prov. Brabant Wallon,From 45 to 49 years,Number,Females,12
2013,BE31,Prov. Brabant Wallon,From 50 to 54 years,Number,Total,83
2013,BE31,Prov. Brabant Wallon,From 50 to 54 years,Number,Males,54
2013,BE31,Prov. Brabant Wallon,From 50 to 54 years,Number,Females,29
2013,BE32,Prov. Hainaut,Total,Number,Total,15252
2013,BE32,Prov. Hainaut,Total,Number,Males,7400
2013,BE32,Prov. Hainaut,Total,Number,Females,7852
2013,BE32,Prov. Hainaut,Less than 5 years,Number,Total,90
2013,BE32,Prov. Hainaut,Less than 5 years,Number,Males,47
2013,BE32,Prov. Hainaut,Less than 5 years,Number,Females,43
2013,BE32,Prov. Hainaut,From 45 to 49 years,Number,Total,292
2013,BE32,Prov. Hainaut,From 45 to 49 years,Number,Males,186
2013,BE32,Prov. Hainaut,From 45 to 49 years,Number,Females,106
2013,BE32,Prov. Hainaut,From 50 to 54 years,Number,Total,510
2013,BE32,Prov. Hainaut,From 50 to 54 years,Number,Males,330
2013,BE32,Prov. Hainaut,From 50 to 54 years,Number,Females,180
2013,BE33,Prov. Li�ge,Total,Number,Total,11706
2013,BE33,Prov. Li�ge,Total,Number,Males,5547
2013,BE33,Prov. Li�ge,Total,Number,Females,6159
