Round,HomeTeam,AwayTeam,HGFT,AGFT,Result,HGHT,AGHT,ResultHT,HY,AY,HR,AR,Home,Draw,Away
23,Freiburg,Hoffenheim,1,1,D,0,0,D,2,2,0,0,2.85,3.3,2.5
23,Hertha,Dortmund,2,1,H,1,0,H,2,4,0,0,5,4,1.65
23,Ingolstadt,FC Koln,2,2,D,1,1,D,4,3,0,0,2.6,3.3,2.7
23,RB Leipzig,Wolfsburg,0,1,A,0,1,A,3,4,0,0,1.6,4,5.5
23,Hamburg,M'gladbach,2,1,H,1,1,D,1,2,0,0,2.75,3.25,2.6
23,Schalke 04,Augsburg,3,0,H,3,0,H,3,0,0,0,1.8,3.6,4.5
24,Dortmund,Ingolstadt,1,0,H,1,0,H,1,3,0,0,1.3,5.5,9.5
24,Augsburg,Freiburg,1,1,D,1,1,D,2,2,0,0,2.3,3.3,3.15
24,Ein Frankfurt,Hamburg,0,0,D,0,0,D,1,1,0,0,2.2,3.35,3.3
24,FC Koln,Hertha,4,2,H,3,0,H,2,3,0,0,2.3,3.3,3.15
24,Hoffenheim,Leverkusen,1,0,H,0,0,D,1,1,0,0,2.1,3.4,3.5
24,Werder Bremen,RB Leipzig,3,0,H,1,0,H,2,1,0,0,3.4,3.5,2.1
24,Wolfsburg,Darmstadt,1,0,H,1,0,H,2,3,0,0,1.5,4.2,6.5
24,Mainz,Schalke 04,0,1,A,0,0,D,2,4,0,0,2.65,3.3,2.65
24,M'gladbach,Bayern Munich,0,1,A,0,0,D,0,2,0,0,7,4.5,1.45
