TIME,CURRENCY,UNIT,STATINFO,Value
1972Q1,German mark,National currency (former currencies of the euro area countries),Average,3.60152
1972Q1,Estonian Kroon ,National currency (former currencies of the euro area countries),Average,
1972Q1,Spanish peseta,National currency (former currencies of the euro area countries),Average,
1972Q1,Finnish markka,National currency (former currencies of the euro area countries),Average,
1972Q1,French franc,National currency (former currencies of the euro area countries),Average,5.74747
1972Q1,Greek drachma,National currency (former currencies of the euro area countries),Average,
1972Q1,Irish pound,National currency (former currencies of the euro area countries),Average,
1972Q1,Italian lira,National currency (former currencies of the euro area countries),Average,660.913
1972Q1,Lithuanian litas,National currency (former currencies of the euro area countries),Average,
1972Q1,Luxembourg franc,National currency (former currencies of the euro area countries),Average,49.6357
1972Q1,Latvian lats,National currency (former currencies of the euro area countries),Average,
1972Q1,Maltese lira ,National currency (former currencies of the euro area countries),Average,
1972Q1,Dutch guilder,National currency (former currencies of the euro area countries),Average,3.5981
1972Q1,Portuguese escudo,National currency (former currencies of the euro area countries),Average,
1972Q1,Slovenian tolar ,National currency (former currencies of the euro area countries),Average,
1972Q1,Slovak koruna,National currency (former currencies of the euro area countries),Average,
1972Q2,Austrian schilling,National currency (former currencies of the euro area countries),Average,
1972Q2,Belgian franc,National currency (former currencies of the euro area countries),Average,49.8717
1972Q2,Cyprus pound,National currency (former currencies of the euro area countries),Average,
1972Q2,German mark,National currency (former currencies of the euro area countries),Average,3.60074
1972Q2,Estonian Kroon ,National currency (former currencies of the euro area countries),Average,
1972Q2,Spanish peseta,National currency (former currencies of the euro area countries),Average,
1972Q2,Finnish markka,National currency (former currencies of the euro area countries),Average,
1972Q2,French franc,National currency (former currencies of the euro area countries),Average,5.69174
1972Q2,Greek drachma,National currency (former currencies of the euro area countries),Average,
1972Q2,Irish pound,National currency (former currencies of the euro area countries),Average,
1972Q2,Italian lira,National currency (former currencies of the euro area countries),Average,659.757
1972Q2,Lithuanian litas,National currency (former currencies of the euro area countries),Average,
1972Q2,Luxembourg franc,National currency (former currencies of the euro area countries),Average,49.8717
1972Q2,Latvian lats,National currency (former currencies of the euro area countries),Average,
1972Q2,Maltese lira ,National currency (former currencies of the euro area countries),Average,
1972Q2,Dutch guilder,National currency (former currencies of the euro area countries),Average,3.63506
1972Q2,Portuguese escudo,National currency (former currencies of the euro area countries),Average,
1972Q2,Slovenian tolar ,National currency (former currencies of the euro area countries),Average,
1972Q2,Slovak koruna,National currency (former currencies of the euro area countries),Average,
1972Q3,Austrian schilling,National currency (former currencies of the euro area countries),Average,
1972Q3,Belgian franc,National currency (former currencies of the euro area countries),Average,49.1313
1972Q3,Cyprus pound,National currency (former currencies of the euro area countries),Average,
1972Q3,German mark,National currency (former currencies of the euro area countries),Average,3.56102
1972Q3,Estonian Kroon ,National currency (former currencies of the euro area countries),Average,
1972Q3,Spanish peseta,National currency (former currencies of the euro area countries),Average,
1972Q3,Finnish markka,National currency (former currencies of the euro area countries),Average,
1972Q3,French franc,National currency (former currencies of the euro area countries),Average,5.60371
1972Q3,Greek drachma,National currency (former currencies of the euro area countries),Average,
1972Q3,Irish pound,National currency (former currencies of the euro area countries),Average,
1972Q3,Italian lira,National currency (former currencies of the euro area countries),Average,650.813
1972Q3,Lithuanian litas,National currency (former currencies of the euro area countries),Average,
