GEO,TIME,UNIT,COICOP,Value
Latvia,2014,Annual average rate of change,All-items HICP,0.7
Latvia,2015,Annual average rate of change,All-items HICP,0.2
Latvia,2016,Annual average rate of change,All-items HICP,0.1
Lithuania,1996,Annual average rate of change,All-items HICP,24.7
Lithuania,1997,Annual average rate of change,All-items HICP,10.3
Lithuania,1998,Annual average rate of change,All-items HICP,5.4
Lithuania,1999,Annual average rate of change,All-items HICP,1.4
Lithuania,2000,Annual average rate of change,All-items HICP,1.1
Lithuania,2001,Annual average rate of change,All-items HICP,1.5
Lithuania,2002,Annual average rate of change,All-items HICP,0.3
Lithuania,2003,Annual average rate of change,All-items HICP,-1.1
Lithuania,2004,Annual average rate of change,All-items HICP,1.2
Lithuania,2005,Annual average rate of change,All-items HICP,2.7
Lithuania,2006,Annual average rate of change,All-items HICP,3.8
Lithuania,2007,Annual average rate of change,All-items HICP,5.8
Lithuania,2008,Annual average rate of change,All-items HICP,11.1
Lithuania,2009,Annual average rate of change,All-items HICP,4.2
Lithuania,2010,Annual average rate of change,All-items HICP,1.2
Lithuania,2011,Annual average rate of change,All-items HICP,4.1
Lithuania,2012,Annual average rate of change,All-items HICP,3.2
Lithuania,2013,Annual average rate of change,All-items HICP,1.2
Lithuania,2014,Annual average rate of change,All-items HICP,0.2
Lithuania,2015,Annual average rate of change,All-items HICP,-0.7
Lithuania,2016,Annual average rate of change,All-items HICP,0.7
Luxembourg,1996,Annual average rate of change,All-items HICP,1.2
Luxembourg,1997,Annual average rate of change,All-items HICP,1.4
Luxembourg,1998,Annual average rate of change,All-items HICP,1
Luxembourg,1999,Annual average rate of change,All-items HICP,1
Luxembourg,2000,Annual average rate of change,All-items HICP,3.8
Luxembourg,2001,Annual average rate of change,All-items HICP,2.4
Luxembourg,2002,Annual average rate of change,All-items HICP,2.1
Luxembourg,2003,Annual average rate of change,All-items HICP,2.5
Luxembourg,2004,Annual average rate of change,All-items HICP,3.2
Luxembourg,2005,Annual average rate of change,All-items HICP,3.8
Luxembourg,2006,Annual average rate of change,All-items HICP,3
Luxembourg,2007,Annual average rate of change,All-items HICP,2.7
Luxembourg,2008,Annual average rate of change,All-items HICP,4.1
Luxembourg,2009,Annual average rate of change,All-items HICP,0
Luxembourg,2010,Annual average rate of change,All-items HICP,2.8
Luxembourg,2011,Annual average rate of change,All-items HICP,3.7
Luxembourg,2012,Annual average rate of change,All-items HICP,2.9
Luxembourg,2013,Annual average rate of change,All-items HICP,1.7
Luxembourg,2014,Annual average rate of change,All-items HICP,0.7
Luxembourg,2015,Annual average rate of change,All-items HICP,0.1
Luxembourg,2016,Annual average rate of change,All-items HICP,0
Hungary,1996,Annual average rate of change,All-items HICP,23.5
Hungary,1997,Annual average rate of change,All-items HICP,18.5
Hungary,1998,Annual average rate of change,All-items HICP,14.2
Hungary,1999,Annual average rate of change,All-items HICP,10
Hungary,2000,Annual average rate of change,All-items HICP,10
Hungary,2001,Annual average rate of change,All-items HICP,9.1
Hungary,2002,Annual average rate of change,All-items HICP,5.2
Hungary,2003,Annual average rate of change,All-items HICP,4.7
Hungary,2004,Annual average rate of change,All-items HICP,6.8
Hungary,2005,Annual average rate of change,All-items HICP,3.5
Hungary,2006,Annual average rate of change,All-items HICP,4
Hungary,2007,Annual average rate of change,All-items HICP,7.9
Hungary,2008,Annual average rate of change,All-items HICP,6
Hungary,2009,Annual average rate of change,All-items HICP,4
Hungary,2010,Annual average rate of change,All-items HICP,4.7
Hungary,2011,Annual average rate of change,All-items HICP,3.9
Hungary,2012,Annual average rate of change,All-items HICP,5.7
Hungary,2013,Annual average rate of change,All-items HICP,1.7
Hungary,2014,Annual average rate of change,All-items HICP,0
Hungary,2015,Annual average rate of change,All-items HICP,0.1
Hungary,2016,Annual average rate of change,All-items HICP,0.4
Malta,1996,Annual average rate of change,All-items HICP, 
Malta,1997,Annual average rate of change,All-items HICP,3.9
Malta,1998,Annual average rate of change,All-items HICP,3.7
Malta,1999,Annual average rate of change,All-items HICP,2.3
Malta,2000,Annual average rate of change,All-items HICP,3
Malta,2001,Annual average rate of change,All-items HICP,2.5
Malta,2002,Annual average rate of change,All-items HICP,2.6
Malta,2003,Annual average rate of change,All-items HICP,1.9
Malta,2004,Annual average rate of change,All-items HICP,2.7
Malta,2005,Annual average rate of change,All-items HICP,2.5
Malta,2006,Annual average rate of change,All-items HICP,2.6
Malta,2007,Annual average rate of change,All-items HICP,0.7
Malta,2008,Annual average rate of change,All-items HICP,4.7
Malta,2009,Annual average rate of change,All-items HICP,1.8
Malta,2010,Annual average rate of change,All-items HICP,2
Malta,2011,Annual average rate of change,All-items HICP,2.5
Malta,2012,Annual average rate of change,All-items HICP,3.2
Malta,2013,Annual average rate of change,All-items HICP,1
Malta,2014,Annual average rate of change,All-items HICP,0.8
Malta,2015,Annual average rate of change,All-items HICP,1.2
Malta,2016,Annual average rate of change,All-items HICP,0.9
Netherlands,1996,Annual average rate of change,All-items HICP, 
Netherlands,1997,Annual average rate of change,All-items HICP,1.9
Netherlands,1998,Annual average rate of change,All-items HICP,1.8
Netherlands,1999,Annual average rate of change,All-items HICP,2
Netherlands,2000,Annual average rate of change,All-items HICP,2.3
Netherlands,2001,Annual average rate of change,All-items HICP,5.1
Netherlands,2002,Annual average rate of change,All-items HICP,3.9
Netherlands,2003,Annual average rate of change,All-items HICP,2.2
Netherlands,2004,Annual average rate of change,All-items HICP,1.4
Netherlands,2005,Annual average rate of change,All-items HICP,1.5
Netherlands,2006,Annual average rate of change,All-items HICP,1.6
Netherlands,2007,Annual average rate of change,All-items HICP,1.6
Netherlands,2008,Annual average rate of change,All-items HICP,2.2
Netherlands,2009,Annual average rate of change,All-items HICP,1
Netherlands,2010,Annual average rate of change,All-items HICP,0.9
Netherlands,2011,Annual average rate of change,All-items HICP,2.5
Netherlands,2012,Annual average rate of change,All-items HICP,2.8
Netherlands,2013,Annual average rate of change,All-items HICP,2.6
Netherlands,2014,Annual average rate of change,All-items HICP,0.3
Netherlands,2015,Annual average rate of change,All-items HICP,0.2
Netherlands,2016,Annual average rate of change,All-items HICP,0.1
Austria,1996,Annual average rate of change,All-items HICP,1.8
Austria,1997,Annual average rate of change,All-items HICP,1.2
Austria,1998,Annual average rate of change,All-items HICP,0.8
Austria,1999,Annual average rate of change,All-items HICP,0.5
Austria,2000,Annual average rate of change,All-items HICP,2
Austria,2001,Annual average rate of change,All-items HICP,2.3
Austria,2002,Annual average rate of change,All-items HICP,1.7
Austria,2003,Annual average rate of change,All-items HICP,1.3
Austria,2004,Annual average rate of change,All-items HICP,2
Austria,2005,Annual average rate of change,All-items HICP,2.1
Austria,2006,Annual average rate of change,All-items HICP,1.7
Austria,2007,Annual average rate of change,All-items HICP,2.2
Austria,2008,Annual average rate of change,All-items HICP,3.2
Austria,2009,Annual average rate of change,All-items HICP,0.4
Austria,2010,Annual average rate of change,All-items HICP,1.7
Austria,2011,Annual average rate of change,All-items HICP,3.6
Austria,2012,Annual average rate of change,All-items HICP,2.6
Austria,2013,Annual average rate of change,All-items HICP,2.1
Austria,2014,Annual average rate of change,All-items HICP,1.5
Austria,2015,Annual average rate of change,All-items HICP,0.8
Austria,2016,Annual average rate of change,All-items HICP,1
Poland,1996,Annual average rate of change,All-items HICP, 
Poland,1997,Annual average rate of change,All-items HICP,15
Poland,1998,Annual average rate of change,All-items HICP,11.8
Poland,1999,Annual average rate of change,All-items HICP,7.2
Poland,2000,Annual average rate of change,All-items HICP,10.1
Poland,2001,Annual average rate of change,All-items HICP,5.3
Poland,2002,Annual average rate of change,All-items HICP,2
Poland,2003,Annual average rate of change,All-items HICP,0.7
Poland,2004,Annual average rate of change,All-items HICP,3.6
Poland,2005,Annual average rate of change,All-items HICP,2.2
Poland,2006,Annual average rate of change,All-items HICP,1.3
Poland,2007,Annual average rate of change,All-items HICP,2.6
Poland,2008,Annual average rate of change,All-items HICP,4.2
Poland,2009,Annual average rate of change,All-items HICP,4
Poland,2010,Annual average rate of change,All-items HICP,2.6
Poland,2011,Annual average rate of change,All-items HICP,3.9
Poland,2012,Annual average rate of change,All-items HICP,3.7
Poland,2013,Annual average rate of change,All-items HICP,0.8
Poland,2014,Annual average rate of change,All-items HICP,0.1
Poland,2015,Annual average rate of change,All-items HICP,-0.7
Poland,2016,Annual average rate of change,All-items HICP,-0.2
Portugal,1996,Annual average rate of change,All-items HICP,2.9
Portugal,1997,Annual average rate of change,All-items HICP,1.9
Portugal,1998,Annual average rate of change,All-items HICP,2.2
Portugal,1999,Annual average rate of change,All-items HICP,2.2
Portugal,2000,Annual average rate of change,All-items HICP,2.8
Portugal,2001,Annual average rate of change,All-items HICP,4.4
Portugal,2002,Annual average rate of change,All-items HICP,3.7
Portugal,2003,Annual average rate of change,All-items HICP,3.2
Portugal,2004,Annual average rate of change,All-items HICP,2.5
Portugal,2005,Annual average rate of change,All-items HICP,2.1
Portugal,2006,Annual average rate of change,All-items HICP,3
Portugal,2007,Annual average rate of change,All-items HICP,2.4
Portugal,2008,Annual average rate of change,All-items HICP,2.7
Portugal,2009,Annual average rate of change,All-items HICP,-0.9
Portugal,2010,Annual average rate of change,All-items HICP,1.4
Portugal,2011,Annual average rate of change,All-items HICP,3.6
Portugal,2012,Annual average rate of change,All-items HICP,2.8
Portugal,2013,Annual average rate of change,All-items HICP,0.4
Portugal,2014,Annual average rate of change,All-items HICP,-0.2
Portugal,2015,Annual average rate of change,All-items HICP,0.5
Portugal,2016,Annual average rate of change,All-items HICP,0.6
Romania,1996,Annual average rate of change,All-items HICP,38.8
Romania,1997,Annual average rate of change,All-items HICP,154.9
Romania,1998,Annual average rate of change,All-items HICP,59.1
Romania,1999,Annual average rate of change,All-items HICP,45.8
Romania,2000,Annual average rate of change,All-items HICP,45.7
Romania,2001,Annual average rate of change,All-items HICP,34.5
Romania,2002,Annual average rate of change,All-items HICP,22.5
Romania,2003,Annual average rate of change,All-items HICP,15.3
Romania,2004,Annual average rate of change,All-items HICP,11.9
Romania,2005,Annual average rate of change,All-items HICP,9.1
Romania,2006,Annual average rate of change,All-items HICP,6.6
Romania,2007,Annual average rate of change,All-items HICP,4.9
Romania,2008,Annual average rate of change,All-items HICP,7.9
Romania,2009,Annual average rate of change,All-items HICP,5.6
Romania,2010,Annual average rate of change,All-items HICP,6.1
Romania,2011,Annual average rate of change,All-items HICP,5.8
Romania,2012,Annual average rate of change,All-items HICP,3.4
Romania,2013,Annual average rate of change,All-items HICP,3.2
Romania,2014,Annual average rate of change,All-items HICP,1.4
Romania,2015,Annual average rate of change,All-items HICP,-0.4
Romania,2016,Annual average rate of change,All-items HICP,-1.1
Slovenia,1996,Annual average rate of change,All-items HICP,9.9
Slovenia,1997,Annual average rate of change,All-items HICP,8.3
Slovenia,1998,Annual average rate of change,All-items HICP,7.9
Slovenia,1999,Annual average rate of change,All-items HICP,6.1
Slovenia,2000,Annual average rate of change,All-items HICP,8.9
Slovenia,2001,Annual average rate of change,All-items HICP,8.6
Slovenia,2002,Annual average rate of change,All-items HICP,7.5
Slovenia,2003,Annual average rate of change,All-items HICP,5.7
Slovenia,2004,Annual average rate of change,All-items HICP,3.7
Slovenia,2005,Annual average rate of change,All-items HICP,2.5
Slovenia,2006,Annual average rate of change,All-items HICP,2.5
Slovenia,2007,Annual average rate of change,All-items HICP,3.8
Slovenia,2008,Annual average rate of change,All-items HICP,5.5
Slovenia,2009,Annual average rate of change,All-items HICP,0.9
Slovenia,2010,Annual average rate of change,All-items HICP,2.1
Slovenia,2011,Annual average rate of change,All-items HICP,2.1
Slovenia,2012,Annual average rate of change,All-items HICP,2.8
Slovenia,2013,Annual average rate of change,All-items HICP,1.9
Slovenia,2014,Annual average rate of change,All-items HICP,0.4
Slovenia,2015,Annual average rate of change,All-items HICP,-0.8
Slovenia,2016,Annual average rate of change,All-items HICP,-0.2
Slovakia,1996,Annual average rate of change,All-items HICP,5.8
Slovakia,1997,Annual average rate of change,All-items HICP,6
Slovakia,1998,Annual average rate of change,All-items HICP,6.7
Slovakia,1999,Annual average rate of change,All-items HICP,10.4
Slovakia,2000,Annual average rate of change,All-items HICP,12.2
Slovakia,2001,Annual average rate of change,All-items HICP,7.2
Slovakia,2002,Annual average rate of change,All-items HICP,3.5
Slovakia,2003,Annual average rate of change,All-items HICP,8.4
Slovakia,2004,Annual average rate of change,All-items HICP,7.5
Slovakia,2005,Annual average rate of change,All-items HICP,2.8
Slovakia,2006,Annual average rate of change,All-items HICP,4.3
Slovakia,2007,Annual average rate of change,All-items HICP,1.9
Slovakia,2008,Annual average rate of change,All-items HICP,3.9
Slovakia,2009,Annual average rate of change,All-items HICP,0.9
Slovakia,2010,Annual average rate of change,All-items HICP,0.7
Slovakia,2011,Annual average rate of change,All-items HICP,4.1
Slovakia,2012,Annual average rate of change,All-items HICP,3.7
Slovakia,2013,Annual average rate of change,All-items HICP,1.5
Slovakia,2014,Annual average rate of change,All-items HICP,-0.1
Slovakia,2015,Annual average rate of change,All-items HICP,-0.3
Slovakia,2016,Annual average rate of change,All-items HICP,-0.5
Finland,1996,Annual average rate of change,All-items HICP,1.1
Finland,1997,Annual average rate of change,All-items HICP,1.2
Finland,1998,Annual average rate of change,All-items HICP,1.3
Finland,1999,Annual average rate of change,All-items HICP,1.3
Finland,2000,Annual average rate of change,All-items HICP,3
Finland,2001,Annual average rate of change,All-items HICP,2.7
Finland,2002,Annual average rate of change,All-items HICP,2
Finland,2003,Annual average rate of change,All-items HICP,1.3
Finland,2004,Annual average rate of change,All-items HICP,0.1
Finland,2005,Annual average rate of change,All-items HICP,0.8
Finland,2006,Annual average rate of change,All-items HICP,1.3
Finland,2007,Annual average rate of change,All-items HICP,1.6
Finland,2008,Annual average rate of change,All-items HICP,3.9
Finland,2009,Annual average rate of change,All-items HICP,1.6
Finland,2010,Annual average rate of change,All-items HICP,1.7
Finland,2011,Annual average rate of change,All-items HICP,3.3
Finland,2012,Annual average rate of change,All-items HICP,3.2
Finland,2013,Annual average rate of change,All-items HICP,2.2
Finland,2014,Annual average rate of change,All-items HICP,1.2
Finland,2015,Annual average rate of change,All-items HICP,-0.2
Finland,2016,Annual average rate of change,All-items HICP,0.4
Sweden,1996,Annual average rate of change,All-items HICP,1
Sweden,1997,Annual average rate of change,All-items HICP,1.8
Sweden,1998,Annual average rate of change,All-items HICP,1
Sweden,1999,Annual average rate of change,All-items HICP,0.6
Sweden,2000,Annual average rate of change,All-items HICP,1.3
Sweden,2001,Annual average rate of change,All-items HICP,2.7
Sweden,2002,Annual average rate of change,All-items HICP,1.9
Sweden,2003,Annual average rate of change,All-items HICP,2.3
Sweden,2004,Annual average rate of change,All-items HICP,1
Sweden,2005,Annual average rate of change,All-items HICP,0.8
Sweden,2006,Annual average rate of change,All-items HICP,1.5
Sweden,2007,Annual average rate of change,All-items HICP,1.7
Sweden,2008,Annual average rate of change,All-items HICP,3.3
Sweden,2009,Annual average rate of change,All-items HICP,1.9
Sweden,2010,Annual average rate of change,All-items HICP,1.9
Sweden,2011,Annual average rate of change,All-items HICP,1.4
Sweden,2012,Annual average rate of change,All-items HICP,0.9
Sweden,2013,Annual average rate of change,All-items HICP,0.4
Sweden,2014,Annual average rate of change,All-items HICP,0.2
Sweden,2015,Annual average rate of change,All-items HICP,0.7
Sweden,2016,Annual average rate of change,All-items HICP,1.1
United Kingdom,1996,Annual average rate of change,All-items HICP,2.5
United Kingdom,1997,Annual average rate of change,All-items HICP,1.8
United Kingdom,1998,Annual average rate of change,All-items HICP,1.6
United Kingdom,1999,Annual average rate of change,All-items HICP,1.3
United Kingdom,2000,Annual average rate of change,All-items HICP,0.8
United Kingdom,2001,Annual average rate of change,All-items HICP,1.2
United Kingdom,2002,Annual average rate of change,All-items HICP,1.3
United Kingdom,2003,Annual average rate of change,All-items HICP,1.4
United Kingdom,2004,Annual average rate of change,All-items HICP,1.3
United Kingdom,2005,Annual average rate of change,All-items HICP,2.1
United Kingdom,2006,Annual average rate of change,All-items HICP,2.3
United Kingdom,2007,Annual average rate of change,All-items HICP,2.3
United Kingdom,2008,Annual average rate of change,All-items HICP,3.6
United Kingdom,2009,Annual average rate of change,All-items HICP,2.2
United Kingdom,2010,Annual average rate of change,All-items HICP,3.3
United Kingdom,2011,Annual average rate of change,All-items HICP,4.5
United Kingdom,2012,Annual average rate of change,All-items HICP,2.8
United Kingdom,2013,Annual average rate of change,All-items HICP,2.6
United Kingdom,2014,Annual average rate of change,All-items HICP,1.5
United Kingdom,2015,Annual average rate of change,All-items HICP,0
United Kingdom,2016,Annual average rate of change,All-items HICP,0.7
"European Economic Area (EEA18-2004, EEA28-2006, EEA30-2013, EEA31)",1996,Annual average rate of change,All-items HICP, 
"European Economic Area (EEA18-2004, EEA28-2006, EEA30-2013, EEA31)",1997,Annual average rate of change,All-items HICP,1.7
"European Economic Area (EEA18-2004, EEA28-2006, EEA30-2013, EEA31)",1998,Annual average rate of change,All-items HICP,1.3
"European Economic Area (EEA18-2004, EEA28-2006, EEA30-2013, EEA31)",1999,Annual average rate of change,All-items HICP,1.2
"European Economic Area (EEA18-2004, EEA28-2006, EEA30-2013, EEA31)",2000,Annual average rate of change,All-items HICP,1.9
"European Economic Area (EEA18-2004, EEA28-2006, EEA30-2013, EEA31)",2001,Annual average rate of change,All-items HICP,2.2
"European Economic Area (EEA18-2004, EEA28-2006, EEA30-2013, EEA31)",2002,Annual average rate of change,All-items HICP,2.1
"European Economic Area (EEA18-2004, EEA28-2006, EEA30-2013, EEA31)",2003,Annual average rate of change,All-items HICP,2
"European Economic Area (EEA18-2004, EEA28-2006, EEA30-2013, EEA31)",2004,Annual average rate of change,All-items HICP,2
"European Economic Area (EEA18-2004, EEA28-2006, EEA30-2013, EEA31)",2005,Annual average rate of change,All-items HICP,2.2
"European Economic Area (EEA18-2004, EEA28-2006, EEA30-2013, EEA31)",2006,Annual average rate of change,All-items HICP,2.2
"European Economic Area (EEA18-2004, EEA28-2006, EEA30-2013, EEA31)",2007,Annual average rate of change,All-items HICP,2.3
"European Economic Area (EEA18-2004, EEA28-2006, EEA30-2013, EEA31)",2008,Annual average rate of change,All-items HICP,3.7
"European Economic Area (EEA18-2004, EEA28-2006, EEA30-2013, EEA31)",2009,Annual average rate of change,All-items HICP,1
"European Economic Area (EEA18-2004, EEA28-2006, EEA30-2013, EEA31)",2010,Annual average rate of change,All-items HICP,2.1
"European Economic Area (EEA18-2004, EEA28-2006, EEA30-2013, EEA31)",2011,Annual average rate of change,All-items HICP,3.1
"European Economic Area (EEA18-2004, EEA28-2006, EEA30-2013, EEA31)",2012,Annual average rate of change,All-items HICP,2.6
"European Economic Area (EEA18-2004, EEA28-2006, EEA30-2013, EEA31)",2013,Annual average rate of change,All-items HICP,1.5
"European Economic Area (EEA18-2004, EEA28-2006, EEA30-2013, EEA31)",2014,Annual average rate of change,All-items HICP,0.6
"European Economic Area (EEA18-2004, EEA28-2006, EEA30-2013, EEA31)",2015,Annual average rate of change,All-items HICP,0
"European Economic Area (EEA18-2004, EEA28-2006, EEA30-2013, EEA31)",2016,Annual average rate of change,All-items HICP,0.3
Iceland,1996,Annual average rate of change,All-items HICP,2.2
Iceland,1997,Annual average rate of change,All-items HICP,1.8
Iceland,1998,Annual average rate of change,All-items HICP,1.3
Iceland,1999,Annual average rate of change,All-items HICP,2.1
Iceland,2000,Annual average rate of change,All-items HICP,4.4
Iceland,2001,Annual average rate of change,All-items HICP,6.6
Iceland,2002,Annual average rate of change,All-items HICP,5.3
Iceland,2003,Annual average rate of change,All-items HICP,1.4
Iceland,2004,Annual average rate of change,All-items HICP,2.3
Iceland,2005,Annual average rate of change,All-items HICP,1.4
Iceland,2006,Annual average rate of change,All-items HICP,4.6
Iceland,2007,Annual average rate of change,All-items HICP,3.6
Iceland,2008,Annual average rate of change,All-items HICP,12.8
Iceland,2009,Annual average rate of change,All-items HICP,16.3
Iceland,2010,Annual average rate of change,All-items HICP,7.5
Iceland,2011,Annual average rate of change,All-items HICP,4.2
Iceland,2012,Annual average rate of change,All-items HICP,6
Iceland,2013,Annual average rate of change,All-items HICP,4.1
Iceland,2014,Annual average rate of change,All-items HICP,1
Iceland,2015,Annual average rate of change,All-items HICP,0.3
Iceland,2016,Annual average rate of change,All-items HICP,0.8
Norway,1996,Annual average rate of change,All-items HICP,0.7
Norway,1997,Annual average rate of change,All-items HICP,2.5
Norway,1998,Annual average rate of change,All-items HICP,2
Norway,1999,Annual average rate of change,All-items HICP,2.2
Norway,2000,Annual average rate of change,All-items HICP,3.1
Norway,2001,Annual average rate of change,All-items HICP,2.6
Norway,2002,Annual average rate of change,All-items HICP,0.8
Norway,2003,Annual average rate of change,All-items HICP,2
Norway,2004,Annual average rate of change,All-items HICP,0.6
Norway,2005,Annual average rate of change,All-items HICP,1.5
Norway,2006,Annual average rate of change,All-items HICP,2.4
Norway,2007,Annual average rate of change,All-items HICP,0.8
Norway,2008,Annual average rate of change,All-items HICP,3.4
Norway,2009,Annual average rate of change,All-items HICP,2.3
Norway,2010,Annual average rate of change,All-items HICP,2.3
Norway,2011,Annual average rate of change,All-items HICP,1.3
Norway,2012,Annual average rate of change,All-items HICP,0.4
Norway,2013,Annual average rate of change,All-items HICP,2
Norway,2014,Annual average rate of change,All-items HICP,1.9
Norway,2015,Annual average rate of change,All-items HICP,2
Norway,2016,Annual average rate of change,All-items HICP,3.9
Switzerland,1996,Annual average rate of change,All-items HICP, 
Switzerland,1997,Annual average rate of change,All-items HICP, 
Switzerland,1998,Annual average rate of change,All-items HICP, 
Switzerland,1999,Annual average rate of change,All-items HICP, 
Switzerland,2000,Annual average rate of change,All-items HICP, 
Switzerland,2001,Annual average rate of change,All-items HICP, 
Switzerland,2002,Annual average rate of change,All-items HICP, 
Switzerland,2003,Annual average rate of change,All-items HICP, 
Switzerland,2004,Annual average rate of change,All-items HICP, 
Switzerland,2005,Annual average rate of change,All-items HICP, 
Switzerland,2006,Annual average rate of change,All-items HICP,1
Switzerland,2007,Annual average rate of change,All-items HICP,0.8
Switzerland,2008,Annual average rate of change,All-items HICP,2.4
Switzerland,2009,Annual average rate of change,All-items HICP,-0.7
Switzerland,2010,Annual average rate of change,All-items HICP,0.6
Switzerland,2011,Annual average rate of change,All-items HICP,0.1
Switzerland,2012,Annual average rate of change,All-items HICP,-0.7
Switzerland,2013,Annual average rate of change,All-items HICP,0.1
Switzerland,2014,Annual average rate of change,All-items HICP,0
Switzerland,2015,Annual average rate of change,All-items HICP,-0.8
Switzerland,2016,Annual average rate of change,All-items HICP,-0.5
Serbia,1996,Annual average rate of change,All-items HICP, 
Serbia,1997,Annual average rate of change,All-items HICP, 
Serbia,1998,Annual average rate of change,All-items HICP, 
Serbia,1999,Annual average rate of change,All-items HICP, 
Serbia,2000,Annual average rate of change,All-items HICP, 
Serbia,2001,Annual average rate of change,All-items HICP, 
Serbia,2002,Annual average rate of change,All-items HICP, 
Serbia,2003,Annual average rate of change,All-items HICP, 
Serbia,2004,Annual average rate of change,All-items HICP, 
Serbia,2005,Annual average rate of change,All-items HICP, 
Serbia,2006,Annual average rate of change,All-items HICP, 
Serbia,2007,Annual average rate of change,All-items HICP,5.8
Serbia,2008,Annual average rate of change,All-items HICP,11.9
Serbia,2009,Annual average rate of change,All-items HICP,8.2
Serbia,2010,Annual average rate of change,All-items HICP,6.2
Serbia,2011,Annual average rate of change,All-items HICP,11.2
Serbia,2012,Annual average rate of change,All-items HICP,7.4
Serbia,2013,Annual average rate of change,All-items HICP,7.7
Serbia,2014,Annual average rate of change,All-items HICP,2.3
Serbia,2015,Annual average rate of change,All-items HICP,1.5
Serbia,2016,Annual average rate of change,All-items HICP,1.3
Turkey,1996,Annual average rate of change,All-items HICP, 
Turkey,1997,Annual average rate of change,All-items HICP,85.5
Turkey,1998,Annual average rate of change,All-items HICP,82.1
Turkey,1999,Annual average rate of change,All-items HICP,61.4
Turkey,2000,Annual average rate of change,All-items HICP,53.2
Turkey,2001,Annual average rate of change,All-items HICP,56.8
Turkey,2002,Annual average rate of change,All-items HICP,47
Turkey,2003,Annual average rate of change,All-items HICP,25.3
Turkey,2004,Annual average rate of change,All-items HICP,10.1
Turkey,2005,Annual average rate of change,All-items HICP,8.1
Turkey,2006,Annual average rate of change,All-items HICP,9.3
Turkey,2007,Annual average rate of change,All-items HICP,8.8
Turkey,2008,Annual average rate of change,All-items HICP,10.4
Turkey,2009,Annual average rate of change,All-items HICP,6.3
Turkey,2010,Annual average rate of change,All-items HICP,8.6
Turkey,2011,Annual average rate of change,All-items HICP,6.5
Turkey,2012,Annual average rate of change,All-items HICP,9
Turkey,2013,Annual average rate of change,All-items HICP,7.5
Turkey,2014,Annual average rate of change,All-items HICP,8.9
Turkey,2015,Annual average rate of change,All-items HICP,7.7
Turkey,2016,Annual average rate of change,All-items HICP,7.7
United States,1996,Annual average rate of change,All-items HICP, 
United States,1997,Annual average rate of change,All-items HICP, 
United States,1998,Annual average rate of change,All-items HICP, 
United States,1999,Annual average rate of change,All-items HICP, 
United States,2000,Annual average rate of change,All-items HICP, 
United States,2001,Annual average rate of change,All-items HICP, 
United States,2002,Annual average rate of change,All-items HICP, 
United States,2003,Annual average rate of change,All-items HICP,2.3
United States,2004,Annual average rate of change,All-items HICP,2.7
United States,2005,Annual average rate of change,All-items HICP,3.7
United States,2006,Annual average rate of change,All-items HICP,3.2
United States,2007,Annual average rate of change,All-items HICP,2.6
United States,2008,Annual average rate of change,All-items HICP,4.4
United States,2009,Annual average rate of change,All-items HICP,-0.8
United States,2010,Annual average rate of change,All-items HICP,2.4
United States,2011,Annual average rate of change,All-items HICP,3.8
United States,2012,Annual average rate of change,All-items HICP,2.1
United States,2013,Annual average rate of change,All-items HICP,1.2
United States,2014,Annual average rate of change,All-items HICP,1.3
United States,2015,Annual average rate of change,All-items HICP,-0.7
United States,2016,Annual average rate of change,All-items HICP, 
