date,HCIP,M3
2007+AC0-07+AC0-31,88.53,8291799
2007+AC0-08+AC0-31,88.59,8340331
2007+AC0-09+AC0-30,88.92,8407699
2007+AC0-10+AC0-31,89.35,8546052
2007+AC0-11+AC0-30,89.83,8623095
2007+AC0-12+AC0-31,90.19,8654991
2008+AC0-01+AC0-31,89.85,8799358
2008+AC0-02+AC0-29,90.16,8846168
2008+AC0-03+AC0-31,91.05,8872863
2008+AC0-04+AC0-30,91.34,8948260
2008+AC0-05+AC0-31,91.91,9009350
2008+AC0-06+AC0-30,92.26,9039857
2008+AC0-07+AC0-31,92.12,9110317
2008+AC0-08+AC0-31,91.99,9140653
2008+AC0-09+AC0-30,92.16,9219435
2008+AC0-10+AC0-31,92.18,9369487
2008+AC0-11+AC0-30,91.74,9378962
2008+AC0-12+AC0-31,91.62,9410269
2009+AC0-01+AC0-31,90.85,9401131
2009+AC0-02+AC0-28,91.22,9437905
2009+AC0-03+AC0-31,91.57,9410570
2009+AC0-04+AC0-30,91.9,9454437
2009+AC0-05+AC0-31,91.94,9414259
2009+AC0-06+AC0-30,92.13,9425445
2009+AC0-07+AC0-31,91.52,9426218
2009+AC0-08+AC0-31,91.84,9390630
2009+AC0-09+AC0-30,91.86,9408431
2009+AC0-10+AC0-31,92.07,9383166
2009+AC0-11+AC0-30,92.18,9356648
2009+AC0-12+AC0-31,92.47,9353127
2010+AC0-01+AC0-31,91.71,9329435
2010+AC0-02+AC0-28,92,9328383
2010+AC0-03+AC0-31,93.02,9335574
2010+AC0-04+AC0-30,93.4,9370440
2010+AC0-05+AC0-31,93.5,9388359
2010+AC0-06+AC0-30,93.5,9239034
2010+AC0-07+AC0-31,93.1,9224284
2010+AC0-08+AC0-31,93.29,9268522
2010+AC0-09+AC0-30,93.57,9268419
2010+AC0-10+AC0-31,93.86,9272711
2010+AC0-11+AC0-30,93.94,9295006
2010+AC0-12+AC0-31,94.51,9293369
2011+AC0-01+AC0-31,93.83,9328634
2011+AC0-02+AC0-28,94.23,9336794
2011+AC0-03+AC0-31,95.5,9341964
2011+AC0-04+AC0-30,96.04,9351839
2011+AC0-05+AC0-31,96.04,9362200
2011+AC0-06+AC0-30,96.03,9381682
2011+AC0-07+AC0-31,95.48,9393577
2011+AC0-08+AC0-31,95.66,9459550
2011+AC0-09+AC0-30,96.36,9478158
2011+AC0-10+AC0-31,96.7,9464853
2011+AC0-11+AC0-30,96.79,9478299
2011+AC0-12+AC0-31,97.11,9503654
2012+AC0-01+AC0-31,96.32,9509828
2012+AC0-02+AC0-29,96.8,9542427
2012+AC0-03+AC0-31,98.06,9611735
2012+AC0-04+AC0-30,98.51,9575419
2012+AC0-05+AC0-31,98.38,9622920
2012+AC0-06+AC0-30,98.3,9658657
2012+AC0-07+AC0-31,97.79,9699582
2012+AC0-08+AC0-31,98.16,9683833
2012+AC0-09+AC0-30,98.88,9714031
2012+AC0-10+AC0-31,99.11,9782789
2012+AC0-11+AC0-30,98.91,9775271
2012+AC0-12+AC0-31,99.27,9790922
2013+AC0-01+AC0-31,98.23,9771025
2013+AC0-02+AC0-28,98.6,9786712
2013+AC0-03+AC0-31,99.76,9807221
2013+AC0-04+AC0-30,99.67,9816114
2013+AC0-05+AC0-31,99.78,9823872
2013+AC0-06+AC0-30,99.88,9821965
2013+AC0-07+AC0-31,99.35,9832732
2013+AC0-08+AC0-31,99.48,9874156
2013+AC0-09+AC0-30,99.96,9870723
2013+AC0-10+AC0-31,99.84,9881343
2013+AC0-11+AC0-30,99.76,9893936
2013+AC0-12+AC0-31,100.11,9833714
2014+AC0-01+AC0-31,98.99,9867633
2014+AC0-02+AC0-28,99.3,9885903
2014+AC0-03+AC0-31,100.23,9893744
2014+AC0-04+AC0-30,100.38,9878705
2014+AC0-05+AC0-31,100.27,9939888
2014+AC0-06+AC0-30,100.38,9974160
2014+AC0-07+AC0-31,99.73,10007263
2014+AC0-08+AC0-31,99.84,10053023
2014+AC0-09+AC0-30,100.28,10097021
2014+AC0-10+AC0-31,100.22,10117032
2014+AC0-11+AC0-30,100.04,10195126
2014+AC0-12+AC0-31,99.94,10339772
2015+AC0-01+AC0-31,98.4,10412049
2015+AC0-02+AC0-28,99.03,10438140
2015+AC0-03+AC0-31,100.15,10471816
2015+AC0-04+AC0-30,100.39,10543101
2015+AC0-05+AC0-31,100.61,10564187
2015+AC0-06+AC0-30,100.6,10579988
2015+AC0-07+AC0-31,99.96,10651428
2015+AC0-08+AC0-31,99.97,10665364
2015+AC0-09+AC0-30,100.19,10700996
2015+AC0-10+AC0-31,100.34,10787456
2015+AC0-11+AC0-30,100.19,10845376
2015+AC0-12+AC0-31,100.17,10852386
2016+AC0-01+AC0-31,98.72,10922332
2016+AC0-02+AC0-29,98.88,10973400
2016+AC0-03+AC0-31,100.11,10991385
2016+AC0-04+AC0-30,100.15,11038816
2016+AC0-05+AC0-31,100.51,11075933
2016+AC0-06+AC0-30,100.68,11120897
2016+AC0-07+AC0-31,100.12,11193329
2016+AC0-08+AC0-31,100.21,11210269
2016+AC0-09+AC0-30,100.6,11238672
2016+AC0-10+AC0-31,100.85,11270645
2016+AC0-11+AC0-30,100.76,11352589
2016+AC0-12+AC0-31,101.31,11396999
2017+AC0-01+AC0-31,100.46,11439573
2017+AC0-02+AC0-28,100.84,11481064
2017+AC0-03+AC0-31,101.65,11571434
2017+AC0-04+AC0-30,102.04,11570594
2017+AC0-05+AC0-31,101.92,11599651
2017+AC0-06+AC0-30,101.95,11634015
2017+AC0-07+AC0-31,101.44,11671653
2017+AC0-08+AC0-31,101.71,11739448
2017+AC0-09+AC0-30,102.14,11785816
2017+AC0-10+AC0-31,102.24,11800655
2017+AC0-11+AC0-30,102.31,11860785
2017+AC0-12+AC0-31,102.68,11869966
