TIME,CURRENCY,UNIT,STATINFO,Value
2016M06D21,Pound sterling,National currency,Average,0.76755
2016M06D22,Pound sterling,National currency,Average,0.76793
2016M06D23,Pound sterling,National currency,Average,0.76595
2016M06D24,Pound sterling,National currency,Average,0.8075
2016M06D27,Pound sterling,National currency,Average,0.834
2016M06D28,Pound sterling,National currency,Average,0.8272
2016M06D29,Pound sterling,National currency,Average,0.8255
2016M06D30,Pound sterling,National currency,Average,0.8265
2016M07D01,Pound sterling,National currency,Average,0.8383
2016M07D04,Pound sterling,National currency,Average,0.83905
2016M07D05,Pound sterling,National currency,Average,0.84997
2016M07D06,Pound sterling,National currency,Average,0.853
2016M07D07,Pound sterling,National currency,Average,0.85085
2016M07D08,Pound sterling,National currency,Average,0.85243
2016M07D11,Pound sterling,National currency,Average,0.85097
2016M07D12,Pound sterling,National currency,Average,0.84275
2016M07D13,Pound sterling,National currency,Average,0.83398
2016M07D14,Pound sterling,National currency,Average,0.83311
2016M07D15,Pound sterling,National currency,Average,0.83275
2016M07D18,Pound sterling,National currency,Average,0.83372
2016M07D19,Pound sterling,National currency,Average,0.8395
2016M07D20,Pound sterling,National currency,Average,0.83605
2016M07D21,Pound sterling,National currency,Average,0.83595
2016M07D22,Pound sterling,National currency,Average,0.84108
2016M07D25,Pound sterling,National currency,Average,0.8367
2016M07D26,Pound sterling,National currency,Average,0.8371
2016M07D27,Pound sterling,National currency,Average,0.83875
2016M07D28,Pound sterling,National currency,Average,0.8422
2016M07D29,Pound sterling,National currency,Average,0.844
2016M08D01,Pound sterling,National currency,Average,0.8454
2016M08D02,Pound sterling,National currency,Average,0.8431
2016M08D03,Pound sterling,National currency,Average,0.8391
2016M08D04,Pound sterling,National currency,Average,0.84603
2016M08D05,Pound sterling,National currency,Average,0.8481
2016M08D08,Pound sterling,National currency,Average,0.84955
2016M08D09,Pound sterling,National currency,Average,0.85399
2016M08D10,Pound sterling,National currency,Average,0.85541
2016M08D11,Pound sterling,National currency,Average,0.86038
2016M08D12,Pound sterling,National currency,Average,0.8605
2016M08D15,Pound sterling,National currency,Average,0.86677
2016M08D16,Pound sterling,National currency,Average,0.8706
2016M08D17,Pound sterling,National currency,Average,0.8664
2016M08D18,Pound sterling,National currency,Average,0.86073
2016M08D19,Pound sterling,National currency,Average,0.86537
2016M08D22,Pound sterling,National currency,Average,0.8624
2016M08D23,Pound sterling,National currency,Average,0.85995
2016M08D24,Pound sterling,National currency,Average,0.8513
2016M08D25,Pound sterling,National currency,Average,0.8557
2016M08D26,Pound sterling,National currency,Average,0.8545
2016M08D29,Pound sterling,National currency,Average,0.85476
2016M08D30,Pound sterling,National currency,Average,0.8517
2016M08D31,Pound sterling,National currency,Average,0.84806
2016M09D01,Pound sterling,National currency,Average,0.8405
2016M09D02,Pound sterling,National currency,Average,0.8426
2016M09D05,Pound sterling,National currency,Average,0.83643
2016M09D06,Pound sterling,National currency,Average,0.83535
2016M09D07,Pound sterling,National currency,Average,0.83968
2016M09D08,Pound sterling,National currency,Average,0.8456
2016M09D09,Pound sterling,National currency,Average,0.84558
2016M09D12,Pound sterling,National currency,Average,0.84475
2016M09D13,Pound sterling,National currency,Average,0.84763
2016M09D14,Pound sterling,National currency,Average,0.85078
2016M09D15,Pound sterling,National currency,Average,0.85198
2016M09D16,Pound sterling,National currency,Average,0.85203
2016M09D19,Pound sterling,National currency,Average,0.855
2016M09D20,Pound sterling,National currency,Average,0.86213
2016M09D21,Pound sterling,National currency,Average,0.85693
2016M09D22,Pound sterling,National currency,Average,0.85925
2016M09D23,Pound sterling,National currency,Average,0.86435
2016M09D26,Pound sterling,National currency,Average,0.8709
2016M09D27,Pound sterling,National currency,Average,0.86413
2016M09D28,Pound sterling,National currency,Average,0.86208
2016M09D29,Pound sterling,National currency,Average,0.86138
2016M09D30,Pound sterling,National currency,Average,0.86103
2016M10D03,Pound sterling,National currency,Average,0.87318
2016M10D04,Pound sterling,National currency,Average,0.8754
2016M10D05,Pound sterling,National currency,Average,0.88155
2016M10D06,Pound sterling,National currency,Average,0.88323
2016M10D07,Pound sterling,National currency,Average,0.90353
2016M10D10,Pound sterling,National currency,Average,0.9007
2016M10D11,Pound sterling,National currency,Average,0.90233
2016M10D12,Pound sterling,National currency,Average,0.8999
2016M10D13,Pound sterling,National currency,Average,0.9043
2016M10D14,Pound sterling,National currency,Average,0.8991
2016M10D17,Pound sterling,National currency,Average,0.90485
2016M10D18,Pound sterling,National currency,Average,0.89565
2016M10D19,Pound sterling,National currency,Average,0.89338
2016M10D20,Pound sterling,National currency,Average,0.89568
2016M10D21,Pound sterling,National currency,Average,0.8932
2016M10D24,Pound sterling,National currency,Average,0.89015
2016M10D25,Pound sterling,National currency,Average,0.88998
2016M10D26,Pound sterling,National currency,Average,0.89465
2016M10D27,Pound sterling,National currency,Average,0.89158
2016M10D28,Pound sterling,National currency,Average,0.89905
2016M10D31,Pound sterling,National currency,Average,0.9005
2016M11D01,Pound sterling,National currency,Average,0.90173
2016M11D02,Pound sterling,National currency,Average,0.90063
2016M11D03,Pound sterling,National currency,Average,0.88658
2016M11D04,Pound sterling,National currency,Average,0.88808
2016M11D07,Pound sterling,National currency,Average,0.8904
2016M11D08,Pound sterling,National currency,Average,0.89088
2016M11D09,Pound sterling,National currency,Average,0.8903
2016M11D10,Pound sterling,National currency,Average,0.87785
2016M11D11,Pound sterling,National currency,Average,0.86133
2016M11D14,Pound sterling,National currency,Average,0.85985
2016M11D15,Pound sterling,National currency,Average,0.86638
2016M11D16,Pound sterling,National currency,Average,0.8611
2016M11D17,Pound sterling,National currency,Average,0.86055
2016M11D18,Pound sterling,National currency,Average,0.86218
2016M11D21,Pound sterling,National currency,Average,0.85725
2016M11D22,Pound sterling,National currency,Average,0.85423
2016M11D23,Pound sterling,National currency,Average,0.85393
2016M11D24,Pound sterling,National currency,Average,0.848
2016M11D25,Pound sterling,National currency,Average,0.85182
2016M11D28,Pound sterling,National currency,Average,0.85303
2016M11D29,Pound sterling,National currency,Average,0.84815
2016M11D30,Pound sterling,National currency,Average,0.8525
2016M12D01,Pound sterling,National currency,Average,0.84098
2016M12D02,Pound sterling,National currency,Average,0.84303
2016M12D05,Pound sterling,National currency,Average,0.84168
2016M12D06,Pound sterling,National currency,Average,0.8421
2016M12D07,Pound sterling,National currency,Average,0.85095
2016M12D08,Pound sterling,National currency,Average,0.84995
2016M12D09,Pound sterling,National currency,Average,0.83935
2016M12D12,Pound sterling,National currency,Average,0.839
2016M12D13,Pound sterling,National currency,Average,0.83488
2016M12D14,Pound sterling,National currency,Average,0.83963
2016M12D15,Pound sterling,National currency,Average,0.83598
2016M12D16,Pound sterling,National currency,Average,0.8389
