year,country_origin_id,country_destination_id,hs92_product_id,import_val,import_val_pct
2015,ISR,CUB,ALL,1155395.12,0.0019%
2015,ISR,CUW,ALL,17000,0.000028%
2015,ISR,CYM,ALL,32000,0.000053%
2015,ISR,DMA,ALL,294164.25,0.00049%
2015,ISR,DOM,ALL,12465167.18,0.021%
2015,ISR,GRD,ALL,1000,0.0000017%
2015,ISR,GTM,ALL,3774429.55,0.0063%
2015,ISR,HND,ALL,264958.03,0.00044%
2015,ISR,JAM,ALL,47131.77,0.000079%
2015,ISR,KNA,ALL,1000,0.0000017%
2015,ISR,MEX,ALL,147650783.29,0.25%
2015,ISR,NIC,ALL,173445.18,0.00029%
2015,ISR,PAN,ALL,43570557.76,0.073%
2015,ISR,SLV,ALL,159747.17,0.00027%
2015,ISR,TCA,ALL,1000,0.0000017%
2015,ISR,TTO,ALL,3966.02,0.0000066%
2015,ISR,USA,ALL,8556702857.75,14%
2015,ISR,VCT,ALL,81000,0.00014%
2015,ISR,VGB,ALL,3426186.77,0.0057%
2015,ISR,AUS,ALL,199929375.11,0.33%
2015,ISR,FJI,ALL,66422.92,0.00011%
2015,ISR,GUM,ALL,1000,0.0000017%
2015,ISR,NZL,ALL,21802797.14,0.036%
2015,ISR,PNG,ALL,2783.47,0.0000046%
2015,ISR,WSM,ALL,841448.27,0.0014%
2015,ISR,ARG,ALL,177700526.22,0.30%
2015,ISR,BOL,ALL,3161124.3,0.0053%
2015,ISR,BRA,ALL,296264614.91,0.49%
2015,ISR,CHL,ALL,106281268.23,0.18%
2015,ISR,COL,ALL,293319051.56,0.49%
2015,ISR,ECU,ALL,6123142.09,0.010%
2015,ISR,GUY,ALL,2470277,0.0041%
2015,ISR,PER,ALL,9899478.11,0.017%
2015,ISR,PRY,ALL,152665528.82,0.25%
2015,ISR,SUR,ALL,547548.09,0.00091%
2015,ISR,URY,ALL,145038448.43,0.24%
2015,ISR,VEN,ALL,10788852.04,0.018%
