year,gdp,export_volume,import_volume
1346,3708.7159299321,24.2836752311,
1347,3877.3955044475,27.4671198352,
1348,4000.3821228397,31.0678949896,
1349,3061.6644837716,33.7462757163,
1350,2840.7248397096,37.8471634128,
1351,2673.6477905236,42.4705301247,
1352,2767.4119250818,27.8181972317,
1353,2771.4056309845,20.2138369496,
1354,2650.3116286199,54.3575332489,
1355,2727.284700552,39.8689135726,
1356,2686.0220011407,35.020392438,
1357,2732.731586364,49.0332947238,
1358,2742.6757335222,44.5560941459,
1359,2768.2940731021,39.7692620494,
1360,2745.5267812686,44.6854038605,
1361,2645.145826254,35.1603791015,
1362,2571.8103327133,54.758511997,
1363,2493.0817020924,39.3113395738,
1364,2765.4759601289,26.6318695745,
1365,2638.2607302207,45.9144393133,
1366,2713.758963872,43.3068911229,
1367,2542.8037581527,42.9154029961,
1368,2521.4404084837,32.6631593833,
1369,2350.8238764343,38.6493687411,
1370,2630.2237332153,26.083786197,
1371,2541.1602817179,38.7964733706,
1372,2294.904190638,34.2647017204,
1373,2481.049795426,35.1515187004,
1374,2278.376750756,32.0457845438,
1375,2194.0306964055,36.6921355858,
1376,2531.891851722,28.8897771,
1377,2602.529677815,20.8531313507,
1378,2554.7084332458,39.2425325697,
1379,2327.1311016236,23.3730275004,
1380,2413.8366020962,27.5394102322,
1381,2457.5401173782,27.1846982628,
1382,2522.9610399682,28.3389950731,
1383,2393.1268210096,22.3682079749,
1384,2686.8206128608,35.144956842,
1385,2430.5663609722,28.3034052434,
1386,2697.7252074848,27.7185457085,
1387,2698.2846443769,32.6916312471,
1388,2477.0682263494,27.5180563344,
1389,2545.5302569219,26.5618762428,
1390,2369.6416517973,40.8678014599,
1391,2637.3958626665,24.6174852128,
1392,2951.777607233,27.3804423262,
1393,2426.8117088423,33.1851435524,
1394,2651.520436311,30.8041839446,
1395,2524.873219184,32.4555520433,
1396,2527.1566592202,32.3060747585,
1397,2458.7783256444,28.7174335957,
1398,2618.56724217,29.7246257766,
1399,2501.0176100726,30.3201622605,
1400,2418.8611552357,27.1870709181,
1401,2385.9038899203,26.2000463073,
1402,2447.6761834071,33.9657471508,
1403,2485.7293732263,22.7774910166,
1404,2526.3551574357,27.9937737249,
1405,2528.7079317815,21.9067265163,
