Month,Cocoa,Rice
1996M10,1477.580078125,312.75
1996M11,1465.5350341797,315
1996M12,1474.232421875,313.6666564941
1997M1,1428.7906494141,356
1997M2,1373.2840576172,347
1997M3,1521.8754882813,323.3999938965
1997M4,1570.6148681641,299.3333435059
1997M5,1568.2980957031,324.5
1997M6,1693.6237792969,323.200012207
1997M7,1677.4313964844,320
1997M8,1649.1945800781,285
1997M9,1765.5842285156,270.200012207
1997M10,1741.0987548828,265.75
1997M11,1696.3739013672,251.75
1997M12,1738.7492675781,263.5
1998M1,1670.671875,293.5
1998M2,1643.2259521484,297
1998M3,1721.0639648438,295
1998M4,1720.1594238281,311
1998M5,1781.4088134766,318.5
1998M6,1723.3520507813,331
1998M7,1712.2437744141,323
1998M8,1682.5023193359,323
1998M9,1685.8620605469,322
1998M10,1647.5186767578,298.25
1998M11,1599.9112548828,270.3333435059
1998M12,1524.1213378906,282.5
1999M1,1455.7877197266,301.6666564941
1999M2,1411.1374250188,280
1999M3,1313.8949431271,256.2
1999M4,1177.888059906,235.5
1999M5,1059.2363462155,244.25
1999M6,1162.9074049103,254.75
1999M7,1113.2391724194,255.75
1999M8,1003.5727458333,251
1999M9,1060.5615371262,233
1999M10,1021.5372160402,217
1999M11,922.0766175482,227.5
1999M12,918.7536856359,231
2000M1,918.4817427089,247.5
2000M2,860.7399688649,243
2000M3,925.9258034991,228.8
2000M4,911.9523565803,217
2000M5,909.4224139916,198.7826086957
2000M6,948.2278578467,197.8636363636
2000M7,967.111550127,191
2000M8,877.7927263532,187.0869565217
2000M9,882.7291756285,178.1428571429
2000M10,877.7229441397,186.7272727273
2000M11,873.9871594585,184.8636363636
2000M12,892.7826468367,183.5714285714
2001M1,966.394992193,184.4347826087
2001M2,1157.466575412,185.1
2001M3,1124.4055139122,177.0909090909
2001M4,1083.6628259413,162.0952380952
2001M5,1077.4361268621,164.2608695652
2001M6,973.2910548868,167.7619047619
2001M7,965.3227269567,169.7272727273
2001M8,1032.4838090694,168.7391304348
2001M9,1026.2032939782,173
2001M10,1084.8623775798,170.8695652174
2001M11,1231.5507788172,170
2001M12,1337.429456362,179.380952381
2002M1,1385.932977138,191.1304347826
2002M2,1490.3871825111,194.35
2002M3,1592.0292323078,189.2857142857
2002M4,1568.146408486,189.5
