"C","Emp","I","pi","R","W","Y"
-7.40728929568421,0.626314951146814,2.66173147585813,-1.01133730943509,-1.07503879910458,-14.8791371286711,-4.93465999886058
-6.18597600510201,0.736836857964935,2.43254104298115,-0.830486069305963,-1.15400254797545,-13.2299570057125,-4.62046425282762
-6.59829371451927,0.747667764782936,1.95921261010393,0.23321484682316,-1.36823104684633,-13.5037215827539,-5.21980150679457
-5.60881142393713,1.01497367160085,3.25303917722671,-0.874640992047717,-1.45685254571721,-13.0248629597953,-4.59366076076168
-5.05468413335437,0.693390578418875,2.99485674434949,-0.797811079918592,-1.34904329458808,-11.2545538368367,-3.80149201472892
-4.47737884277215,0.413541485237037,3.7918233114723,-0.922009416789469,-1.40107004345896,-10.0148251138781,-3.66429726869575
-3.80805155218944,0.384526392054913,4.74443087859516,-0.248712918660346,-1.64858904232984,-8.85859179091949,-2.72392452266268
-3.84252526160729,0.238010298872841,4.82890744571786,-0.774946424531222,-1.69680254120071,-8.57393376796089,-2.75239477662995
-2.41779297102469,0.28533220569091,5.5983040128407,-0.545977019402098,-1.69759454007159,-7.7850817450023,-2.06340803059703
-1.98345268044225,0.599910112509069,7.89234757996372,-0.534732070272975,-1.25673928894247,-6.71363322204371,-1.0111642845639
-1.03946338985973,0.862168019326991,9.42965114708626,0.505021934856149,-1.13915003781334,-5.5877523990851,0.0529994614691428
-0.158318099277251,1.21157492614509,9.50096271420911,-0.0333708420147275,-0.778322036684219,-4.68810387612652,0.762299207502054
-0.039734808694887,1.49208883296285,10.014976281332,0.675551009114396,-0.302067535555096,-3.80386565316792,1.79269695353486
0.350549481887826,1.58159873978082,10.0412738484548,0.87905240124352,-0.0434685344259715,-3.03664103020931,2.14856469956811
-0.187937227529786,1.72592164659875,9.60457141557766,0.726739967372644,0.00664171670315189,-2.73421620725072,2.48659744560104
-0.00670893694721886,1.62758155341692,6.47659198270038,1.09970770650177,-0.00430903216772477,-1.31345948429212,2.14560619163393
0.0477933536349309,1.24224546023482,5.96473754982311,1.17498390463089,0.1028824689614,-0.738741261333529,2.16712193766665
-1.22465535578247,0.808379367052911,3.01137111694596,1.19267307276001,-0.0628280299094774,-0.113135138374942,-0.0254213163000817
-1.43489106519995,0.470968273870885,0.568328684068672,0.441960396889138,-0.535828528780354,-0.276898115416343,-1.67159957026712
-0.797322774617426,-0.370437819311174,-2.12257974880855,0.535698263018261,-0.96265302765123,0.869582207542238,-1.96728182423436
-0.0460694840350999,-0.642678912493121,-2.18554218168548,0.0345200321473852,-1.10792952652211,1.88545943050085,-1.6109360782014
0.584444806547496,-0.532256005675091,-0.8328746145629,0.0195513502765085,-1.09181377539298,2.36673245345944,-1.02924833216826
1.13723809712975,-0.556157098857166,-1.5206890474402,0.337096616405632,-0.996584274263859,2.49422027641802,-0.122157586135301
1.38008338771239,-0.365060192039092,-1.34189448031713,0.937909087534756,-0.622329773134736,3.20488999937663,0.732867159897468
1.80232167829469,-0.435586285221116,-1.78966591319442,1.21603664266388,-0.361609022005612,3.96823202233523,1.1233549059304
2.29722696887736,-0.716368378402986,-0.147556346071599,0.339254606793003,-0.271074020876489,5.14996494529382,2.06029565196349
2.04692625945974,-0.581647471585139,0.467457221051188,0.581265269922127,-0.0997432697473647,4.70473626825242,1.79980039799642
2.54354555004217,-0.463466564767141,-1.65163121182614,0.74104964205125,-0.280977518618241,4.78272919121099,1.48199114402945
2.81691384062471,-0.845645657949145,-1.54188464470313,0.337396343180374,-0.370979017489117,5.33766411416963,1.17323889006224
3.20072513120705,-0.970750751131046,-1.30501507758037,0.261577824309497,-0.316747266359994,5.66141733712823,1.64240763609536
2.67051742178957,-0.71378084431296,-1.24505151045775,0.402518605438621,-0.53008951523087,5.28130426008681,1.53822638212836
3.05184071237206,-0.749941937495005,-0.781484943334692,0.479938758567745,-0.582551514101747,5.29671248304541,2.13985312816129
3.24452100295459,-0.694091030676983,-0.779603376212083,0.598062803696869,-0.319406012972623,5.51752690600401,2.01268187419413
3.84432929353695,-0.665594123859019,-0.361239809088931,-0.152268356174008,-0.271280761843499,6.1526261289626,2.7210196202272
3.85247558411949,-0.291244217041022,-2.40718724196641,0.445835174955116,-0.528682510714376,5.66268065192119,2.49658536626015
4.94944087470186,-0.16497431022287,1.11615032515637,0.218157736084239,-0.243194509585252,6.06939077487979,3.52488511229302
4.27695416528447,0.0774335965951461,1.13834989227929,0.979338056213363,0.109779491543871,6.58240169783838,3.62373385832592
4.95315545586665,0.230724503412948,3.41322445940217,0.756168415342486,0.534852492672995,6.90324182079698,4.20113460435908
5.1441157464492,0.448441410230889,5.03559202652481,1.00641666247161,0.709353493802119,6.78491674375556,4.563397350392
3.71241103703189,0.49415731704892,2.80158759364771,0.820307993600734,0.841536994931242,6.68961226671416,3.34417809642486
3.98796732761413,0.465252223866973,2.17337816077055,0.696609419729858,0.622583246060366,6.62010728967275,2.77611984245795
3.69256561819681,0.219621130684918,0.93663772789331,0.335194645858981,0.737558497189489,6.99334861263134,1.98119258849096
2.60046090877906,0.173625037502806,-0.705039704983949,0.658084621988105,0.931636248318613,5.89594103558994,1.37785133452388
1.86789219936169,-0.159505055679002,-1.50213913786125,0.611137251117228,1.43704824944774,6.74194555854854,1.46163108055674
1.90846148994412,-0.391755148861076,-2.9867505707383,0.983316936246352,1.58533800057686,6.99991648150717,1.3028968265898
1.55631378052659,-0.461055242043013,-6.02374000361543,1.19906907837548,1.42672825170598,6.40085080446576,0.759449572622942
1.23077607110896,-0.849269335225127,-6.2589384364927,0.956176935504599,1.17831700283511,5.50830962742435,0.369543318655759
0.326445361691428,-0.738370428407162,-6.91375286936988,0.386775971633723,1.20460950396423,5.10537695038295,0.0832070646885664
-0.220826347726173,-1.06039652158904,-8.23404630224706,0.293874146762846,0.968891755093354,5.28126327334152,-0.811767189278327
-0.248251057143519,-1.21657061477105,-9.25887973512441,0.24711375789197,0.791781756222478,4.57903269630012,-1.45572944324527
-0.408236766561216,-1.71874570795296,-9.24650016800148,0.833142563021094,0.631455257351602,3.95888581925871,-1.48495669721234
-1.0315144759786,-1.69319580113494,-9.69884860087869,0.0715126141502171,0.594980508480725,3.8599211422173,-1.23456695117949
-1.60300418539599,-1.78299889431707,-9.7782210337558,0.391003741279341,0.685283759609849,3.89775236517591,-1.56963120514643
-1.54993989481384,-1.70346998749903,-10.564546466633,0.330095831408464,0.717088760738973,2.7956509881345,-1.37846745911344
-1.37766060423108,-2.20794908068103,-10.7544358995102,0.254725610537588,0.588653761868096,3.24800591109309,-0.768162713080584
-2.16754631364891,-2.37685217386308,-13.1582993323874,-0.270174785333289,0.48734326299722,1.4633898340517,-2.03077696704764
-2.51378102306624,-2.25111926704505,-12.2717767652647,-0.299771261204165,0.402737514126344,1.92192875701028,-1.77781422101458
-2.881956732484,-2.10932536022699,-12.013071198142,-0.195336352075041,0.348850015255467,1.83982707996887,-1.78014347498157
-2.69576144190135,-2.46382645340884,-13.598288631019,-0.229336759945918,0.293417016384591,1.92794850292748,-2.17110072894872
-2.47188415131903,-2.40271254659103,-12.3578660638963,-0.328390935816794,0.305983517513715,1.83161632588607,-1.74685798291586
-1.98537186073644,-2.13132863977296,-10.9145974967733,0.0479932293123295,0.174076518642838,1.60917654884466,-1.34130623688276
-1.79535957015399,-1.91994973295493,-11.1572239296505,-0.0373802405585469,0.0347527697719617,1.27410147180325,-1.33524449084967
-2.23620427957142,-1.79413982613698,-12.4935393625279,0.325335739570577,0.0770985209010855,0.203081794761858,-2.4389757448169
-1.05951398898922,-1.46610191931893,-9.4393217954049,-0.3433885613003,-0.100523977969791,-0.0236195822795641,-1.21249599878393
-0.880750698406685,-1.22689501250113,-8.55347622828218,-0.389177229171176,-0.151760976840667,-0.100419159320949,-1.1695352527509
-0.854767407824268,-1.03921310568319,-7.37227666115938,-0.717765445042052,-0.110395725711544,-0.303429136362324,-1.08908650671793
-1.28387911724165,-1.07247819886504,-10.0169240940364,-0.475771077912929,-0.0681177245824202,-1.02729961340376,-2.47529576068501
-0.136280826659216,-0.715602292047034,-6.6088015269139,-0.679374664783805,-0.00588347345329659,-0.220547190445159,-1.35028801465211
0.210418463923149,-0.47778238522903,-5.20453795979084,-0.850451026654681,0.0256092776758273,0.0458331325134519,-0.941206268619054
0.880992754505784,-0.42327347841103,-4.10239939266818,-0.351156124525558,0.0404215288049506,0.238618255472034,-0.147033522586127
0.355471045088067,-0.0408605715930396,-2.84719182554533,-0.443637289396434,-0.172057470065926,-0.0976574215693792,0.00264822344678447
0.476624335670765,0.161995335225019,-1.31389225842246,-0.510057046267311,-0.200233718936802,-0.314544198610774,0.110753969479846
1.32687062625316,0.427961242042901,0.0477363087003483,-0.457353369138187,0.00151428219232136,-0.14155407565218,0.68902171551298
1.45059991683572,0.58731514886097,1.56291887582291,-0.269617174009063,0.124864533321445,-0.700863852693572,1.35196046154573
1.43080720741797,1.0322620556791,3.69473644294602,-0.10470955287994,0.373842284450569,-0.908152829735001,1.60178520757876
1.62625749800056,1.34197196249704,4.03270301006854,-0.574450454750816,0.431972035579692,-0.880245406776395,2.06665595361159
1.98421478858292,1.69020586931504,4.13196257719131,-0.298896842621693,0.557904786708816,-0.564375183817815,1.76248769964485
2.3948130791655,2.06797977613303,7.14001714431437,-0.00632439149256908,0.818575287837939,-0.585193560859209,2.66576044567768
2.87102736974795,2.82185268295109,9.10361371143712,0.00876039463655459,0.872660538967063,-0.534649237900623,3.40481519171061
3.01774866033044,3.25105358976896,8.56085827855999,-0.118404938234322,0.735584790096187,0.0652317850580185,3.25065893774348
2.93052495091298,3.29300349658718,7.65761084568261,-0.150559680105198,0.72429554122531,0.130147408016598,3.42512968377667
3.17394724149519,3.56326040340503,8.80218641280534,-0.407283543976075,0.863487292354434,0.344405830975206,3.21737542980958
3.7379935320778,3.89919031022317,8.96114497992847,0.267385558153049,0.905797293483557,-0.359224746066217,3.19034517584231
3.82853782266013,3.68741321704113,10.0871245470511,0.289608345282173,0.765589294612681,0.809626476892391,3.3395519218754
3.3341971132427,3.28486112385906,9.47971311417372,0.0668908954112963,0.793591545741805,0.96436469985099,3.13580166790842
3.74469940382507,3.16143103067714,9.39643168129681,0.11655019754042,0.863114546870928,1.02890142280958,2.86253341394144
3.78298469440757,2.62209193749516,10.0363272484195,-0.169857686330457,0.907382548000052,1.27813974576816,3.35457915997421
3.10391998498996,2.50666384431304,8.63402681554238,-0.251770448201333,0.954661799129176,1.22978226872675,2.46094690600711
2.84131527557249,1.92228375113121,6.65217838266507,-0.0561666400722095,1.2044623002583,2.21339949168535,1.95335565204022
3.03382056615489,1.17768665794927,4.4470649497879,-0.326940687943086,1.08497055138742,2.08079051464395,0.996207398073183
0.366902856737412,0.448306564766998,0.285402516910733,-0.070319775813962,0.917799802516546,0.49247473760255,-0.790449855893768
0.0846581473197301,-0.0660615284149305,-2.1878769159665,-0.104565394684839,0.52419455364567,0.650575360561136,-1.16720310986108
0.01041443790247,-0.442424621597066,-2.98793834884383,-0.488778872555715,0.317800054774794,0.553070983519718,-1.25860936382793
0.211491728485059,-0.899979714779075,-4.10213178172067,-0.352404601426591,0.147215305903917,0.245560006478315,-1.35926161779486
-0.664899980932644,-1.14776780796103,-2.7713012145981,-0.248509912297468,0.0227453070330408,-0.535055570563087,-1.34433687176198
-0.96249269035023,-1.20474490114304,-2.22810464747532,-0.587005745168344,-0.0798966918378356,-0.818288347604493,-0.941261125728771
